Time,Population,Uninfected Naive,Uninfected Immune,Infected Naive,Infected Immune,Dead
0.0,pop,47499,0,2501,0,0
0.2,pop,46946,29,2768,257,0
0.4,pop,46292,97,3103,508,0
0.6,pop,45536,217,3519,728,0
0.8,pop,44684,399,4001,916,0
1.0,pop,43668,616,4617,1099,0
1.2,pop,42517,854,5278,1351,0
1.4,pop,41274,1148,5977,1601,0
1.6,pop,39900,1512,6700,1888,0
1.8,pop,38379,1940,7456,2225,0
2.0,pop,36844,2448,8161,2547,0
2.2,pop,35180,2989,8952,2879,0
2.4,pop,33443,3603,9730,3224,0
2.6,pop,31473,4273,10685,3569,0
2.8,pop,29563,5013,11521,3903,0
3.0,pop,27641,5848,12236,4275,0
3.2,pop,25790,6740,12858,4612,0
3.4,pop,23845,7687,13432,5036,0
3.6,pop,21962,8702,13972,5364,0
3.8,pop,20135,9818,14294,5753,0
4.0,pop,18545,11003,14491,5961,0
4.2,pop,16947,12243,14647,6163,0
4.4,pop,15512,13472,14617,6399,0
4.6,pop,14245,14763,14435,6557,0
4.8,pop,13005,16131,14266,6598,0
5.0,pop,11904,17501,13982,6613,0
5.2,pop,10930,18826,13590,6654,0
5.4,pop,10055,20122,13073,6750,0
5.6,pop,9298,21450,12483,6769,0
5.8,pop,8597,22771,11975,6657,0
6.0,pop,7964,24066,11440,6530,0
6.2,pop,7397,25365,10962,6276,0
6.4,pop,6919,26596,10377,6108,0
6.6,pop,6480,27815,9797,5908,0
6.8,pop,6067,28973,9231,5729,0
7.0,pop,5686,30127,8682,5505,0
7.2,pop,5367,31235,8192,5206,0
7.4,pop,5072,32273,7677,4978,0
7.6,pop,4831,33246,7170,4753,0
7.8,pop,4604,34174,6660,4562,0
8.0,pop,4392,35040,6228,4340,0
8.2,pop,4196,35921,5815,4068,0
8.4,pop,4035,36694,5398,3873,0
8.6,pop,3880,37459,4999,3662,0
8.8,pop,3753,38144,4650,3453,0
9.0,pop,3642,38798,4347,3213,0
9.2,pop,3548,39417,4006,3029,0
9.4,pop,3442,39964,3747,2847,0
9.6,pop,3355,40521,3495,2629,0
9.8,pop,3288,41021,3244,2447,0
10.0,pop,3227,41466,2975,2332,0
10.2,pop,3170,41917,2743,2170,0
10.4,pop,3100,42311,2550,2039,0
10.6,pop,3041,42700,2348,1911,0
