Time,AAWNYAAARA,AA*HYAAARA,AAAAAAAAAA,AAWAYAAARA,AAWIYAAARA,AAAAYAAAAA,AAAAYAAARA,Other,Total
0.0,0,0,8,0,0,0,0,0,8
2.0,0,0,9,0,0,0,0,0,9
4.0,0,0,11,0,0,0,0,0,11
6.0,0,0,8,0,0,0,0,0,8
8.0,0,0,12,0,0,0,0,0,12
10.0,0,0,7,0,0,0,0,0,7
12.0,0,0,16,0,0,0,0,0,16
14.0,0,0,17,0,0,0,0,0,17
16.0,0,0,13,0,0,0,0,0,13
18.0,0,0,6,0,0,0,0,0,6
20.0,0,0,3,0,0,0,0,0,3
22.0,0,0,10,0,0,0,0,0,10
24.0,0,0,18,0,0,1,0,0,19
26.0,0,0,12,0,0,1,0,0,13
28.0,0,0,8,0,0,0,0,0,8
30.0,0,0,6,0,0,1,0,0,7
32.0,0,0,11,0,0,0,0,0,11
34.0,0,0,4,0,0,0,0,0,4
36.0,0,0,5,0,0,1,0,0,6
38.0,0,0,10,0,0,1,0,0,11
40.0,0,0,2,0,0,0,0,0,2
42.0,0,0,6,0,0,4,0,0,10
44.0,0,0,2,0,0,2,0,0,4
46.0,0,0,4,0,0,2,0,0,6
48.0,0,0,3,0,0,2,0,0,5
50.0,0,0,1,0,0,4,0,0,5
52.0,0,0,1,0,0,1,0,0,2
54.0,0,0,2,0,0,5,0,0,7
56.0,0,0,2,0,0,6,0,0,8
58.0,0,0,4,0,0,1,0,0,5
60.0,0,0,2,0,0,10,0,0,12
62.0,0,0,0,0,0,4,0,0,4
64.0,0,0,0,0,0,3,0,0,3
66.0,0,0,0,0,0,4,0,1,5
68.0,0,0,0,0,0,1,0,0,1
70.0,0,0,0,0,0,4,0,0,4
72.0,0,0,0,0,0,12,0,0,12
74.0,0,0,0,0,0,5,0,1,6
76.0,0,0,0,0,0,7,0,1,8
78.0,0,0,1,0,0,6,0,1,8
80.0,0,0,0,0,0,7,0,0,7
82.0,0,0,0,0,0,9,0,1,10
84.0,0,0,0,0,0,9,0,0,9
86.0,0,0,2,0,0,4,0,0,6
88.0,0,0,0,0,0,2,0,1,3
90.0,0,0,0,0,0,3,0,1,4
92.0,0,0,0,0,0,2,2,0,4
94.0,0,0,0,0,0,5,0,0,5
96.0,0,0,0,0,0,3,0,1,4
98.0,0,0,0,0,0,1,0,1,2
100.0,0,0,0,0,0,1,0,1,2
102.0,0,0,0,0,0,3,0,0,3
104.0,0,0,0,0,0,4,1,1,6
106.0,0,0,0,0,0,1,0,1,2
108.0,0,0,0,0,0,1,0,1,2
110.0,0,0,0,0,0,2,0,0,2
112.0,0,0,0,0,0,0,0,0,0
114.0,0,0,0,0,0,4,0,0,4
116.0,0,0,0,0,0,4,1,0,5
118.0,0,0,0,0,0,3,4,0,7
120.0,0,0,0,0,0,4,2,0,6
122.0,0,0,0,0,0,1,4,0,5
124.0,0,0,0,0,0,0,1,0,1
126.0,0,0,0,0,0,1,1,0,2
128.0,0,0,0,0,0,1,4,0,5
130.0,0,0,0,0,0,0,3,0,3
132.0,0,0,0,0,0,1,1,0,2
134.0,0,0,0,0,0,0,4,0,4
136.0,0,0,0,0,0,1,3,0,4
138.0,0,0,0,0,0,1,4,0,5
140.0,0,0,0,0,0,2,1,0,3
142.0,0,0,0,0,0,1,3,0,4
144.0,0,0,0,0,0,3,5,0,8
146.0,0,0,0,0,0,2,5,1,8
148.0,0,0,0,0,0,0,9,0,9
150.0,0,0,0,0,0,1,4,1,6
152.0,0,0,0,0,0,3,5,0,8
154.0,0,0,0,1,0,3,9,0,13
156.0,0,0,0,2,0,0,5,1,8
158.0,0,0,0,2,0,0,8,1,11
160.0,0,0,0,1,0,1,7,1,10
162.0,0,0,0,0,0,1,4,0,5
164.0,0,0,0,1,0,0,2,2,5
166.0,0,0,0,0,0,0,6,1,7
168.0,0,0,0,0,0,0,9,2,11
170.0,0,0,0,0,0,0,5,1,6
172.0,0,0,0,0,0,0,8,4,12
174.0,0,0,0,2,0,0,1,2,5
176.0,0,0,0,2,0,0,5,2,9
178.0,0,0,0,1,0,0,4,4,9
180.0,0,0,0,2,0,0,2,3,7
182.0,0,0,0,0,0,0,5,2,7
184.0,0,0,0,1,0,0,3,6,10
186.0,0,0,0,1,0,0,4,3,8
188.0,0,0,0,0,0,0,5,7,12
190.0,0,0,0,3,0,0,2,7,12
192.0,0,0,0,4,0,0,6,5,15
194.0,0,0,0,3,0,0,4,12,19
196.0,0,0,0,3,0,0,5,7,15
198.0,0,0,0,1,0,0,4,4,9
200.0,0,0,0,1,0,0,3,11,15
202.0,0,0,0,2,0,0,0,8,10
204.0,0,0,0,2,0,0,1,7,10
206.0,0,0,0,4,0,0,1,6,11
208.0,0,0,0,0,0,0,2,5,7
210.0,0,0,0,1,0,0,3,6,10
212.0,0,0,0,0,0,0,0,6,6
214.0,0,0,0,1,0,0,0,5,6
216.0,0,0,0,1,0,0,0,5,6
218.0,0,0,0,3,0,0,0,4,7
220.0,0,0,0,4,0,0,0,7,11
222.0,0,0,0,5,0,0,0,7,12
224.0,0,0,0,3,0,0,0,4,7
226.0,0,0,0,4,0,0,0,4,8
228.0,0,0,0,1,0,0,0,4,5
230.0,0,0,0,4,0,0,0,3,7
232.0,0,0,0,4,0,0,0,2,6
234.0,0,0,0,2,0,0,0,7,9
236.0,0,0,0,4,0,0,0,3,7
238.0,0,0,0,5,0,0,0,7,12
240.0,0,0,0,2,0,0,0,3,5
242.0,0,0,0,5,0,0,0,5,10
244.0,0,0,0,8,0,0,0,3,11
246.0,0,0,0,5,0,0,0,4,9
248.0,0,0,0,1,0,0,0,4,5
250.0,0,0,0,7,0,0,0,3,10
252.0,0,0,0,9,0,0,0,2,11
254.0,0,0,0,5,0,0,0,4,9
256.0,0,0,0,4,0,0,0,2,6
258.0,0,0,0,2,0,0,0,3,5
260.0,1,0,0,8,0,0,0,3,12
262.0,0,0,0,8,0,0,0,3,11
264.0,0,0,0,3,0,0,0,1,4
266.0,2,0,0,3,0,0,0,2,7
268.0,0,0,0,4,0,0,0,1,5
270.0,4,0,0,2,0,0,0,1,7
272.0,0,0,0,6,0,0,0,0,6
274.0,6,0,0,6,0,0,0,1,13
276.0,3,0,0,7,0,0,0,1,11
278.0,4,0,0,4,0,0,0,1,9
280.0,3,0,0,3,0,0,0,1,7
282.0,2,0,0,3,0,0,0,0,5
284.0,2,0,0,5,0,0,0,0,7
286.0,5,0,0,6,0,0,0,0,11
288.0,8,0,0,2,1,0,0,0,11
290.0,12,0,0,3,0,0,0,0,15
292.0,4,0,0,0,0,0,0,0,4
294.0,11,0,0,1,0,0,0,0,12
296.0,9,0,0,3,0,0,0,0,12
298.0,11,0,0,3,2,0,0,0,16
300.0,13,0,0,2,0,0,0,0,15
302.0,12,0,0,2,0,0,0,0,14
304.0,19,0,0,1,0,0,0,0,20
306.0,10,0,0,0,0,0,0,0,10
308.0,3,0,0,0,1,0,0,0,4
310.0,4,0,0,0,0,0,0,0,4
312.0,5,0,0,1,1,0,0,0,7
314.0,9,0,0,0,1,0,0,0,10
316.0,6,0,0,0,1,0,0,0,7
318.0,5,0,0,0,0,0,0,0,5
320.0,9,0,0,1,0,0,0,0,10
322.0,9,0,0,0,2,0,0,0,11
324.0,7,0,0,0,1,0,0,0,8
326.0,7,0,0,0,3,0,0,0,10
328.0,11,0,0,0,3,0,0,0,14
330.0,5,0,0,0,5,0,0,0,10
