Time,AAWNYAAARA,AA*HYAAARA,AAAAAAAAAA,AAWAYAAARA,AAWIYAAARA,AAAAYAAAAA,AAAAYAAARA,Other,Total
0.0,0,0,0,0,0,0,0,0,0
2.0,0,0,1,0,0,0,0,0,1
4.0,0,0,1,0,0,0,0,0,1
6.0,0,0,4,0,0,0,0,0,4
8.0,0,0,6,0,0,0,0,0,6
10.0,0,0,10,0,0,0,0,0,10
12.0,0,0,10,0,0,0,0,0,10
14.0,0,0,12,0,0,0,0,0,12
16.0,0,0,14,0,0,0,0,0,14
18.0,0,0,17,0,0,0,0,0,17
20.0,0,0,17,0,0,0,0,0,17
22.0,0,0,18,0,0,0,0,0,18
24.0,0,0,21,0,0,0,0,0,21
26.0,0,0,25,0,0,0,0,0,25
28.0,0,0,27,0,0,1,0,0,28
30.0,0,0,27,0,0,2,0,0,29
32.0,0,0,30,0,0,2,0,0,32
34.0,0,0,31,0,0,2,0,0,33
36.0,0,0,32,0,0,2,0,0,34
38.0,0,0,33,0,0,2,0,0,35
40.0,0,0,37,0,0,2,0,0,39
42.0,0,0,37,0,0,3,0,0,40
44.0,0,0,37,0,0,5,0,0,42
46.0,0,0,37,0,0,5,0,0,42
48.0,0,0,37,0,0,5,0,0,42
50.0,0,0,37,0,0,6,0,0,43
52.0,0,0,38,0,0,6,0,0,44
54.0,0,0,38,0,0,6,0,0,44
56.0,0,0,38,0,0,7,0,0,45
58.0,0,0,39,0,0,7,0,0,46
60.0,0,0,38,0,0,8,0,0,46
62.0,0,0,39,0,0,9,0,0,48
64.0,0,0,39,0,0,9,0,0,48
66.0,0,0,39,0,0,10,0,0,49
68.0,0,0,40,0,0,10,0,0,50
70.0,0,0,40,0,0,10,0,0,50
72.0,0,0,40,0,0,11,0,0,51
74.0,0,0,40,0,0,11,0,0,51
76.0,0,0,41,0,0,15,0,0,56
78.0,0,0,41,0,0,16,0,0,57
80.0,0,0,41,0,0,17,0,0,58
82.0,0,0,41,0,0,19,0,0,60
84.0,0,0,41,0,0,20,0,1,62
86.0,0,0,41,0,0,22,0,1,64
88.0,0,0,41,0,0,23,0,1,65
90.0,0,0,41,0,0,23,0,2,66
92.0,0,0,39,0,0,25,0,2,66
94.0,0,0,39,0,0,27,0,2,68
96.0,0,0,39,0,0,28,0,2,69
98.0,0,0,39,0,0,28,0,2,69
100.0,0,0,39,0,0,30,0,2,71
102.0,0,0,39,0,0,31,0,2,72
104.0,0,0,39,0,0,31,0,2,72
106.0,0,0,39,0,0,32,0,2,73
108.0,0,0,39,0,0,33,0,2,74
110.0,0,0,39,0,0,33,1,2,75
112.0,0,0,39,0,0,34,1,2,76
114.0,0,0,39,0,0,34,1,2,76
116.0,0,0,39,0,0,37,1,2,79
118.0,0,0,39,0,0,38,1,2,80
120.0,0,0,38,0,0,39,1,2,80
122.0,0,0,38,0,0,40,1,2,81
124.0,0,0,38,0,0,40,2,2,82
126.0,0,0,38,0,0,40,2,2,82
128.0,0,0,38,0,0,41,2,2,83
130.0,0,0,38,0,0,41,3,2,84
132.0,0,0,38,0,0,41,4,2,85
134.0,0,0,38,0,0,41,4,2,85
136.0,0,0,38,0,0,41,4,2,85
138.0,0,0,38,0,0,41,6,2,87
140.0,0,0,38,0,0,41,6,2,87
142.0,0,0,37,0,0,41,6,2,86
144.0,0,0,37,0,0,40,7,2,86
146.0,0,0,37,0,0,40,10,3,90
148.0,0,0,37,0,0,40,12,3,92
150.0,0,0,37,0,0,41,14,3,95
152.0,0,0,37,0,0,41,14,3,95
154.0,0,0,37,0,0,41,15,3,96
156.0,0,0,37,0,0,41,19,3,100
158.0,0,0,37,0,0,41,19,3,100
160.0,0,0,37,0,0,41,19,4,101
162.0,0,0,37,0,0,41,22,5,105
164.0,0,0,37,0,0,41,23,5,106
166.0,0,0,37,0,0,41,24,6,108
168.0,0,0,37,0,0,41,24,6,108
170.0,0,0,37,0,0,41,25,6,109
172.0,0,0,37,0,0,41,25,7,110
174.0,0,0,37,0,0,41,25,7,110
176.0,0,0,37,0,0,41,26,7,111
178.0,0,0,37,1,0,41,26,7,112
180.0,0,0,37,1,0,41,28,7,114
182.0,0,0,37,2,0,41,30,8,118
184.0,0,0,37,2,0,41,30,10,120
186.0,0,0,37,2,0,41,30,10,120
188.0,0,0,37,3,0,41,30,12,123
190.0,0,0,37,3,0,41,30,14,125
192.0,0,0,37,4,0,41,31,18,131
194.0,0,0,37,5,0,41,34,18,135
196.0,0,0,37,5,0,41,34,19,136
198.0,0,0,37,5,0,41,36,20,139
200.0,0,0,37,5,0,41,37,21,141
202.0,0,0,37,5,0,41,38,23,144
204.0,0,0,37,5,0,41,38,24,145
206.0,0,0,37,5,0,41,37,24,144
208.0,0,0,37,5,0,41,38,26,147
210.0,0,0,37,5,0,41,38,28,149
212.0,0,0,37,6,0,41,39,28,151
214.0,0,0,37,6,0,40,39,28,150
216.0,0,0,37,7,0,40,39,28,151
218.0,0,0,37,9,0,40,39,28,153
220.0,0,0,37,10,0,40,39,28,154
222.0,0,0,37,11,0,40,39,30,157
224.0,0,0,37,12,0,40,39,30,158
226.0,0,0,37,12,0,40,39,30,158
228.0,0,0,37,13,0,40,39,30,159
230.0,0,0,37,13,0,40,39,31,160
232.0,0,0,37,13,0,40,39,31,160
234.0,0,0,37,15,0,40,39,31,162
236.0,0,0,37,15,0,39,39,32,162
238.0,0,0,37,15,0,39,39,33,163
240.0,0,0,37,16,0,39,39,33,164
242.0,0,0,37,15,0,39,39,35,165
244.0,0,0,37,16,0,39,39,34,165
246.0,0,0,37,17,0,39,39,34,166
248.0,0,0,37,18,0,39,39,34,167
250.0,0,0,37,18,0,38,39,35,167
252.0,0,0,37,17,0,38,39,35,166
254.0,0,0,37,19,0,38,38,35,167
256.0,0,0,37,20,0,38,38,36,169
258.0,0,0,37,20,0,38,38,37,170
260.0,0,0,37,20,0,38,38,38,171
262.0,0,0,37,22,0,38,37,39,173
264.0,0,0,36,23,0,38,37,40,174
266.0,0,0,36,23,0,38,37,40,174
268.0,0,0,36,25,0,38,37,40,176
270.0,0,0,36,25,0,38,36,40,175
272.0,0,0,36,27,0,38,35,40,176
274.0,0,0,36,30,0,38,35,41,180
276.0,1,0,36,30,0,37,34,41,179
278.0,1,0,36,30,0,37,34,41,179
280.0,3,0,36,32,0,37,34,41,183
282.0,4,0,35,34,0,37,34,41,185
284.0,4,0,35,36,0,37,34,41,187
286.0,5,0,35,36,0,37,34,41,188
288.0,6,0,35,36,0,37,34,41,189
290.0,7,0,35,36,1,37,34,41,191
292.0,7,0,35,37,1,37,34,41,192
294.0,8,0,35,39,1,37,34,41,195
296.0,11,0,35,39,1,37,34,41,198
298.0,12,0,35,39,1,37,33,41,198
300.0,13,0,35,39,1,37,33,41,199
302.0,16,0,34,39,1,37,33,41,201
304.0,17,0,34,39,1,37,33,41,202
306.0,19,0,34,40,1,37,32,41,204
308.0,19,0,34,40,1,37,32,41,204
310.0,20,0,34,40,1,37,32,41,205
312.0,20,0,34,40,1,37,32,41,205
314.0,20,0,34,40,1,37,32,41,205
316.0,23,0,34,40,3,36,32,41,209
318.0,23,0,34,39,3,35,32,41,207
320.0,27,0,34,39,3,35,32,41,211
322.0,29,0,34,39,3,35,32,41,213
324.0,30,0,34,39,3,35,32,40,213
326.0,33,0,34,39,3,35,31,40,215
328.0,34,0,34,39,4,35,31,40,217
330.0,35,0,34,39,4,35,31,39,217
332.0,36,0,34,39,6,35,31,38,219
334.0,36,0,34,39,8,35,31,37,220
336.0,38,0,34,39,8,35,31,37,222
338.0,38,0,34,39,8,35,31,37,222
340.0,38,0,34,39,9,35,31,37,223
342.0,38,0,34,39,9,34,31,37,222
344.0,38,0,33,39,9,34,31,37,221
346.0,38,0,33,38,9,34,31,37,220
348.0,38,0,33,38,11,34,31,37,222
350.0,38,0,33,38,11,34,31,38,223
352.0,38,0,31,38,12,34,31,39,223
354.0,38,0,31,38,13,34,31,39,224
356.0,38,0,31,38,15,34,31,39,226
358.0,38,0,31,38,14,34,31,39,225
360.0,39,0,31,38,15,34,31,39,227
362.0,39,0,31,38,16,34,31,40,229
364.0,39,0,31,38,17,34,31,40,230
366.0,39,0,31,38,18,34,31,40,231
368.0,39,0,31,38,22,34,31,40,235
370.0,39,0,31,38,22,34,31,40,235
372.0,39,0,31,38,24,34,31,40,237
374.0,39,0,31,38,23,34,31,40,236
376.0,39,0,31,38,24,34,31,40,237
378.0,39,0,31,38,27,33,31,40,239
380.0,39,0,31,38,29,33,31,40,241
382.0,39,0,31,38,30,33,31,40,242
384.0,39,0,31,38,30,33,30,40,241
386.0,39,0,30,38,31,33,30,40,241
388.0,39,0,30,38,32,33,30,40,242
390.0,39,0,30,38,32,33,29,40,241
392.0,39,0,29,38,32,33,27,40,238
394.0,39,0,29,38,32,33,27,40,238
396.0,39,0,29,38,33,33,27,40,239
398.0,39,0,29,38,35,33,27,40,241
400.0,39,0,29,36,35,33,27,40,239
402.0,39,0,29,36,36,33,27,41,241
404.0,39,0,29,36,36,33,27,41,241
406.0,39,0,29,36,35,33,27,41,240
408.0,39,0,29,36,35,33,27,41,240
410.0,39,0,29,36,35,33,27,42,241
412.0,38,0,29,36,34,33,27,43,240
414.0,38,0,29,36,34,33,27,43,240
416.0,38,0,29,36,35,33,26,43,240
418.0,38,0,29,36,36,33,26,44,242
420.0,38,0,28,36,36,33,26,46,243
422.0,38,0,28,36,35,33,26,46,242
424.0,38,0,28,36,35,33,26,46,242
426.0,38,0,28,36,35,33,26,46,242
428.0,38,0,28,36,35,33,26,46,242
430.0,38,0,28,35,35,33,26,46,241
432.0,38,0,28,35,35,33,25,49,243
434.0,38,0,28,35,35,33,25,51,245
436.0,38,0,28,35,35,33,25,51,245
438.0,38,0,27,34,34,33,25,52,243
440.0,38,0,27,34,34,32,25,52,242
442.0,38,0,27,34,34,32,25,52,242
444.0,38,0,27,34,34,32,25,53,243
446.0,38,0,27,34,33,32,25,54,243
448.0,38,0,27,34,33,32,25,57,246
450.0,38,0,27,34,33,32,25,60,249
452.0,38,0,27,34,33,32,25,64,253
454.0,36,0,26,34,33,32,25,65,251
456.0,36,0,26,34,33,32,25,65,251
458.0,36,0,26,33,33,32,25,66,251
460.0,36,0,26,32,33,32,25,66,250
462.0,36,0,26,32,33,32,25,67,251
464.0,36,0,26,32,33,32,25,69,253
466.0,36,0,26,32,33,32,25,71,255
468.0,36,0,26,32,33,32,25,72,256
470.0,36,0,26,32,33,32,25,73,257
472.0,36,1,26,32,33,32,25,76,261
474.0,36,1,26,31,33,32,25,77,261
476.0,36,2,26,30,33,32,24,77,260
478.0,36,2,26,30,33,32,24,80,263
480.0,36,2,26,30,33,32,23,83,265
482.0,36,2,26,30,33,32,23,84,266
484.0,36,2,26,30,33,32,23,85,267
486.0,36,2,26,30,33,32,23,87,269
488.0,36,2,26,30,33,32,23,88,270
490.0,35,2,26,30,33,32,23,88,269
492.0,35,2,26,30,33,32,23,91,272
494.0,35,2,26,30,33,32,23,92,273
496.0,35,2,26,30,33,32,23,92,273
498.0,35,2,26,30,33,32,23,92,273
500.0,35,2,26,30,33,32,23,93,274
502.0,35,2,26,30,33,32,23,94,275
504.0,35,2,25,29,32,32,23,93,271
506.0,33,2,25,29,32,32,23,93,269
508.0,33,2,25,29,32,32,23,94,270
510.0,33,3,25,29,31,32,23,95,271
512.0,33,3,25,29,31,32,23,96,272
514.0,33,3,25,29,31,32,23,98,274
516.0,33,3,25,29,31,32,23,99,275
518.0,33,3,25,29,31,32,23,99,275
520.0,33,3,25,27,31,32,23,103,277
522.0,33,4,25,27,31,32,23,104,279
524.0,33,7,25,27,31,32,23,105,283
526.0,33,8,25,27,31,32,23,105,284
528.0,33,11,25,27,30,32,23,105,286
530.0,33,13,25,27,30,32,23,106,289
532.0,33,13,25,27,30,32,23,108,291
534.0,32,13,25,27,30,32,23,108,290
536.0,32,13,25,27,30,32,23,108,290
538.0,32,14,25,27,30,32,22,108,290
540.0,32,16,25,27,29,32,22,108,291
542.0,32,17,25,27,29,32,22,108,292
544.0,32,18,25,27,29,32,22,109,294
546.0,32,19,25,27,29,32,22,110,296
548.0,32,19,25,27,29,32,22,110,296
550.0,32,19,25,27,29,32,22,109,295
552.0,32,20,25,27,29,32,22,109,296
554.0,32,21,25,27,29,32,22,109,297
556.0,32,21,25,27,29,32,21,109,296
558.0,32,21,25,27,29,32,21,109,296
560.0,32,21,25,27,29,32,20,110,296
562.0,32,23,25,27,29,31,20,109,296
564.0,32,23,25,27,29,31,20,108,295
566.0,32,24,25,27,29,31,20,108,296
568.0,32,26,25,27,29,31,20,107,297
570.0,32,26,25,26,29,31,20,107,296
572.0,32,26,25,26,29,31,20,108,297
574.0,32,27,25,26,29,31,20,108,298
576.0,32,29,25,26,29,31,20,108,300
578.0,32,29,25,26,29,31,20,108,300
580.0,32,29,25,26,29,31,20,108,300
582.0,31,31,25,26,29,31,20,107,300
584.0,31,32,25,26,29,31,20,107,301
586.0,31,32,25,26,29,31,20,107,301
588.0,31,32,25,26,29,31,20,107,301
590.0,31,32,25,26,29,31,20,107,301
592.0,31,32,25,26,29,31,20,107,301
594.0,31,32,25,26,29,31,20,107,301
596.0,31,33,25,26,29,31,20,107,302
598.0,31,33,25,26,29,31,20,107,302
600.0,31,33,25,26,29,31,20,107,302
602.0,31,35,25,26,29,31,20,108,305
604.0,31,35,25,26,29,31,20,109,306
606.0,31,35,25,26,29,31,20,109,306
608.0,31,36,25,26,29,31,20,109,307
610.0,31,36,25,26,29,31,20,109,307
612.0,31,36,25,26,29,31,20,109,307
614.0,31,37,25,26,29,31,20,109,308
616.0,31,37,25,25,29,31,20,109,307
618.0,31,37,25,25,29,31,20,108,306
620.0,31,37,24,24,29,31,20,107,303
622.0,31,37,24,24,29,31,20,107,303
624.0,31,37,24,24,29,31,20,107,303
626.0,31,39,24,24,29,31,20,107,305
628.0,31,39,24,24,29,31,20,108,306
