Time,Population,Uninfected Naive,Uninfected Immune,Infected Naive,Infected Immune,Dead
0.0,pop,11391,88605,4,0,0
10.0,pop,13424,86571,5,0,0
20.0,pop,16661,83335,4,0,0
30.0,pop,19844,80150,6,0,0
40.0,pop,22924,77069,7,0,0
50.0,pop,25786,74207,7,0,0
60.0,pop,28626,71371,3,0,0
70.0,pop,31283,68708,9,0,0
80.0,pop,33907,66082,11,0,0
90.0,pop,36449,63528,23,0,0
100.0,pop,38757,61189,54,0,0
110.0,pop,40795,59039,166,0,0
120.0,pop,42038,57303,658,1,0
130.0,pop,40999,56738,2261,2,0
140.0,pop,33474,60027,6491,8,0
150.0,pop,21800,68760,9428,12,0
160.0,pop,14599,77857,7540,4,0
170.0,pop,12403,82782,4808,7,0
180.0,pop,12574,84575,2851,0,0
190.0,pop,13848,84426,1724,2,0
200.0,pop,15591,83185,1223,1,0
210.0,pop,17567,81536,897,0,0
220.0,pop,19640,79674,686,0,0
230.0,pop,21779,77639,580,2,0
240.0,pop,23794,75560,644,2,0
250.0,pop,25441,73775,783,1,0
260.0,pop,26725,72225,1048,2,0
270.0,pop,27392,71253,1354,1,0
280.0,pop,27027,70889,2082,2,0
290.0,pop,25473,71677,2846,4,0
300.0,pop,23301,73130,3565,4,0
310.0,pop,20880,75320,3798,2,0
320.0,pop,19110,77312,3577,1,0
330.0,pop,18132,78742,3122,4,0
340.0,pop,17756,79645,2594,5,0
350.0,pop,18116,79735,2147,2,0
360.0,pop,18629,79534,1834,3,0
370.0,pop,19543,78851,1603,3,0
380.0,pop,20486,78032,1477,5,0
390.0,pop,21429,77174,1394,3,0
400.0,pop,22237,76276,1485,2,0
410.0,pop,22716,75653,1628,3,0
420.0,pop,22746,75388,1863,3,0
430.0,pop,22662,75262,2074,2,0
440.0,pop,22295,75381,2322,2,0
450.0,pop,21802,75737,2454,7,0
460.0,pop,21054,76437,2503,6,0
470.0,pop,20496,77093,2406,5,0
480.0,pop,20202,77453,2338,7,0
490.0,pop,20254,77639,2104,3,0
500.0,pop,20563,77513,1916,8,0
510.0,pop,20713,77355,1931,1,0
520.0,pop,20648,77309,2036,7,0
530.0,pop,20866,77188,1944,2,0
540.0,pop,21012,76991,1989,8,0
550.0,pop,21079,76831,2083,7,0
560.0,pop,20911,76954,2131,4,0
570.0,pop,20656,77150,2185,9,0
580.0,pop,20662,77341,1992,5,0
590.0,pop,20624,77341,2026,9,0
600.0,pop,20707,77339,1943,11,0
610.0,pop,20863,77187,1944,6,0
620.0,pop,20972,77134,1883,11,0
630.0,pop,21144,77056,1795,5,0
640.0,pop,21325,76813,1856,6,0
650.0,pop,21311,76703,1977,9,0
660.0,pop,21191,76688,2113,8,0
670.0,pop,21076,76887,2029,8,0
680.0,pop,20893,77097,2007,3,0
690.0,pop,20700,77214,2073,13,0
700.0,pop,20593,77339,2062,6,0
710.0,pop,20608,77376,2000,16,0
720.0,pop,20638,77400,1955,7,0
730.0,pop,20673,77458,1858,11,0
740.0,pop,20952,77247,1796,5,0
750.0,pop,21237,77047,1710,6,0
760.0,pop,21541,76719,1730,10,0
770.0,pop,21674,76601,1716,9,0
780.0,pop,21837,76316,1837,10,0
790.0,pop,21773,76292,1929,6,0
800.0,pop,21473,76440,2079,8,0
810.0,pop,21192,76628,2173,7,0
820.0,pop,20751,77049,2187,13,0
830.0,pop,20358,77400,2223,19,0
840.0,pop,19917,77843,2229,11,0
850.0,pop,19742,78183,2064,11,0
860.0,pop,19690,78333,1961,16,0
870.0,pop,19647,78342,2000,11,0
880.0,pop,19916,78297,1778,9,0
890.0,pop,20018,78228,1744,10,0
900.0,pop,20343,77957,1691,9,0
910.0,pop,20557,77796,1635,12,0
920.0,pop,21038,77398,1561,3,0
930.0,pop,21335,76977,1684,4,0
940.0,pop,21360,76815,1819,6,0
950.0,pop,21429,76693,1872,6,0
960.0,pop,21373,76747,1860,20,0
970.0,pop,21228,76813,1951,8,0
980.0,pop,21010,76945,2027,18,0
990.0,pop,20721,77260,2011,8,0
1000.0,pop,20400,77571,2014,15,0
1010.0,pop,20345,77747,1894,14,0
1020.0,pop,20499,77722,1775,4,0
1030.0,pop,20692,77588,1704,16,0
1040.0,pop,20818,77474,1696,12,0
1050.0,pop,20905,77362,1724,9,0
1060.0,pop,20999,77285,1702,14,0
1070.0,pop,21100,77051,1834,15,0
1080.0,pop,21107,76995,1882,16,0
1090.0,pop,20842,77186,1954,18,0
1100.0,pop,20651,77393,1946,10,0
1110.0,pop,20409,77558,2018,15,0
1120.0,pop,20260,77783,1946,11,0
1130.0,pop,20248,77859,1880,13,0
1140.0,pop,20369,77839,1785,7,0
1150.0,pop,20520,77791,1674,15,0
1160.0,pop,20732,77610,1647,11,0
1170.0,pop,20987,77394,1606,13,0
1180.0,pop,21235,77193,1564,8,0
1190.0,pop,21378,76958,1653,11,0
