Component 1,Component 2,Time,Occurrences,Occurrences_mod,Alpha,Linewidth
-0.014414264209359984,-0.007205319924035725,4.543419511020066,12,24.0,1.0,1.0
-0.014383533272307274,-0.003273951225128331,640.4131568254934,8,16.0,1.0,1.0
-0.007394937736020198,-0.006613620126093177,7220.178343662704,8,16.0,1.0,1.0
-0.0061976216495361015,-0.006631513822511631,7934.9718527407495,8,16.0,1.0,1.0
-0.007246879763059346,0.029389302133015865,5031.833695350532,7,14.0,1.0,1.0
-0.006209479805721559,0.016053046693537288,6754.733212399807,7,14.0,1.0,1.0
-0.014444192713797531,-0.004621669311269395,533.2909443210694,6,12.0,1.0,1.0
-0.01465136007403734,-0.004245866096603975,938.4260227632908,6,12.0,1.0,1.0
-0.004616027453195622,0.022299225657485714,7057.735150678963,6,12.0,1.0,1.0
-0.006501644416729645,-0.004115090417706741,7651.878998006048,6,12.0,1.0,1.0
-9.381527637074196e-5,0.012409206625438303,9112.233385443824,6,12.0,1.0,1.0
-0.014438598085059437,-0.006960468766038758,121.54848659448504,5,10.0,1.0,1.0
-0.014552691845785164,-0.005659787809498076,302.62385057051677,5,10.0,1.0,1.0
-0.014534253415268922,-0.005586748271109928,358.1294771906564,5,10.0,1.0,1.0
-0.014134181510548795,-0.002987750815408611,907.2854174000695,5,10.0,1.0,1.0
-0.01476213994921953,-0.005028578140416866,959.4311422679757,5,10.0,1.0,1.0
-0.014510400253725018,-0.002407557943793669,979.8687567779242,5,10.0,1.0,1.0
-0.01516267944679368,-0.0049626711765099665,1197.9332961440844,5,10.0,1.0,1.0
-0.014673546678951913,-0.00306051712655309,1230.6094164874044,5,10.0,1.0,1.0
-0.013772114545250404,-0.002936521873063321,1659.1481682848917,5,10.0,1.0,1.0
-0.014770374125729312,-0.0056426449599668764,2883.4772504919783,5,10.0,1.0,1.0
-0.014818393163888766,-0.0063628168103067925,3090.964789092862,5,10.0,1.0,1.0
-0.01230727309373448,-0.0005259710859080033,3653.178718838486,5,10.0,1.0,1.0
-0.011414801542087282,-0.008301830636557523,4750.567258144781,5,10.0,1.0,1.0
-0.008785372755338795,0.012674853438227843,5220.044756549029,5,10.0,1.0,1.0
-0.011974535332036124,-0.012765739022011606,5509.334280884604,5,10.0,1.0,1.0
-0.010228731953657925,-0.0022323822524842004,5518.098123180734,5,10.0,1.0,1.0
-0.00589288719930227,0.02342408398002502,6053.733934547968,5,10.0,1.0,1.0
-0.005495515655899299,0.02409759286559807,6314.972801377725,5,10.0,1.0,1.0
-0.008122240219590609,0.003006961253772559,6552.643456579705,5,10.0,1.0,1.0
-0.0046582606149657806,0.024115787613049357,6901.003526848569,5,10.0,1.0,1.0
-0.0028259952455638956,0.025863170262213808,7686.801122051106,5,10.0,1.0,1.0
-0.003334749125166294,-0.003681863278557632,8694.49188404188,5,10.0,1.0,1.0
-0.0019329326118900857,0.0029271448870965117,9019.070530960777,5,10.0,1.0,1.0
-0.0007856864629111963,0.004219827043999606,9351.511419436963,5,10.0,1.0,1.0
-0.0015866190836296792,-0.002007586306024212,9348.478216428235,5,10.0,1.0,1.0
-0.0009363156204747576,0.007183293837189943,9429.882615705414,5,10.0,1.0,1.0
-0.01444069137500869,-0.00698549444005497,154.53247664086322,4,8.0,1.0,1.0
-0.014385185399576129,-0.005674659469323734,514.1662036642589,4,8.0,1.0,1.0
-0.014719667494266857,-0.004475884864823437,684.6009918275405,4,8.0,1.0,1.0
-0.014561831733430203,-0.004946046208346301,631.8330235228451,4,8.0,1.0,1.0
-0.014712485750493763,-0.005070896776659155,673.2290450691773,4,8.0,1.0,1.0
-0.014429051295792639,-0.00365401553007465,758.2424299814287,4,8.0,1.0,1.0
-0.014066491457339767,-0.00380683121849551,807.7534618757044,4,8.0,1.0,1.0
-0.015083493519359142,-0.00446851117558732,1218.1420283646187,4,8.0,1.0,1.0
-0.014143035361744353,-0.0007091457668113076,1321.6395212990208,4,8.0,1.0,1.0
-0.014628903306122001,-0.002368430502180403,1319.9984723326672,4,8.0,1.0,1.0
-0.014384013952363257,-0.003472089831932359,1409.6611362698231,4,8.0,1.0,1.0
-0.014722573455428718,-0.003201688490223709,1494.645430635566,4,8.0,1.0,1.0
-0.015241728657971541,-0.005873861746629648,1574.285526415033,4,8.0,1.0,1.0
-0.014390349136819573,-0.005892802307741844,1575.10823189553,4,8.0,1.0,1.0
-0.014525983095374752,-0.002264374822399647,1786.5459649017766,4,8.0,1.0,1.0
-0.015172481453396522,-0.006138150368655447,1854.712182936406,4,8.0,1.0,1.0
-0.014753776122514446,-0.0023709181905755975,1942.6191519311926,4,8.0,1.0,1.0
-0.014050343348969289,-0.003959419478243708,1997.9361664573394,4,8.0,1.0,1.0
-0.013024474236956053,0.00024199914391845925,2747.8984207875465,4,8.0,1.0,1.0
-0.01505724306598393,-0.010444021502143892,2801.566990876903,4,8.0,1.0,1.0
-0.013582541069096793,-0.004242800606706878,3239.0179931233815,4,8.0,1.0,1.0
-0.013050970368101614,0.0010250093300569869,3675.1609345902048,4,8.0,1.0,1.0
-0.010200416989261886,0.02099991097313724,3781.831314288055,4,8.0,1.0,1.0
-0.011772182200592838,0.002568944676531737,3908.036381974967,4,8.0,1.0,1.0
