Component 1,Component 2,Time,Occurrences,Occurrences_mod,Alpha,Linewidth
-0.000222286625425977,-0.01576504001811957,4.543419511020066,12,24.0,1.0,1.0
-0.0001096143588408897,-0.015448666753290034,640.4131568254934,8,16.0,1.0,1.0
0.008315309168102006,-0.007768756712336454,7220.178343662704,8,16.0,1.0,1.0
-0.015625700734498014,-0.003142642375954986,7934.9718527407495,8,16.0,1.0,1.0
0.008878961680937091,-0.009968092894124907,5031.833695350532,7,14.0,1.0,1.0
-0.014534127884522298,-0.00487266520335982,6754.733212399807,7,14.0,1.0,1.0
-0.0005145574607888795,-0.015339464886242089,533.2909443210694,6,12.0,1.0,1.0
1.5576433492988113e-5,-0.015443579628973908,938.4260227632908,6,12.0,1.0,1.0
-0.014909061517458865,-0.0043534381668774436,7057.735150678963,6,12.0,1.0,1.0
-0.01426326615030096,-0.0047280339136047496,7651.878998006048,6,12.0,1.0,1.0
0.015228562287963893,-0.0021506282176637333,9112.233385443824,6,12.0,1.0,1.0
-0.0002274412432310413,-0.01573482017128667,121.54848659448504,5,10.0,1.0,1.0
-6.240471797495818e-5,-0.015593549910777549,302.62385057051677,5,10.0,1.0,1.0
-0.00023483927706909787,-0.015577263310910963,358.1294771906564,5,10.0,1.0,1.0
-0.0018975238039606996,-0.014745667891846604,907.2854174000695,5,10.0,1.0,1.0
-3.068876991087807e-5,-0.015406093294789144,959.4311422679757,5,10.0,1.0,1.0
-0.00010486972075255809,-0.015199188389678592,979.8687567779242,5,10.0,1.0,1.0
-0.0007463977184963276,-0.014959639567468682,1197.9332961440844,5,10.0,1.0,1.0
2.9877918942370785e-5,-0.015245235533993576,1230.6094164874044,5,10.0,1.0,1.0
-0.006299418673748321,-0.012726671501712413,1659.1481682848917,5,10.0,1.0,1.0
-0.0008028061280201352,-0.014964950645372338,2883.4772504919783,5,10.0,1.0,1.0
-0.0003682404038917379,-0.01492635406104985,3090.964789092862,5,10.0,1.0,1.0
0.008952007275360855,-0.010489110051102193,3653.178718838486,5,10.0,1.0,1.0
-0.01435282594026764,-0.005627194531153698,4750.567258144781,5,10.0,1.0,1.0
-0.013230391669566756,-0.007109335217009483,5220.044756549029,5,10.0,1.0,1.0
0.008620022546729524,-0.009589726833971815,5509.334280884604,5,10.0,1.0,1.0
-0.01306786692620742,-0.00704746847606964,5518.098123180734,5,10.0,1.0,1.0
-0.01459769373564927,-0.005267187807732514,6053.733934547968,5,10.0,1.0,1.0
-0.01499743936337276,-0.004622829782052192,6314.972801377725,5,10.0,1.0,1.0
0.008678551759393617,-0.0096495191694026,6552.643456579705,5,10.0,1.0,1.0
-0.015210122475584491,-0.0035337228751596197,6901.003526848569,5,10.0,1.0,1.0
-0.015524874401120908,-0.003208160275978894,7686.801122051106,5,10.0,1.0,1.0
0.015395938232624258,-0.002359819335614838,8694.49188404188,5,10.0,1.0,1.0
0.01512546277457915,-0.002734204781011961,9019.070530960777,5,10.0,1.0,1.0
0.015243384296880684,-0.0021345142702991673,9351.511419436963,5,10.0,1.0,1.0
0.015404487067980728,-0.002100822709976587,9348.478216428235,5,10.0,1.0,1.0
-0.01471070851536798,-0.0027869889637866635,9429.882615705414,5,10.0,1.0,1.0
-0.0002249592726802652,-0.01577486773833489,154.53247664086322,4,8.0,1.0,1.0
-0.0020986126978471873,-0.015061351841001424,514.1662036642589,4,8.0,1.0,1.0
-0.0003584582727937039,-0.01531082381996183,684.6009918275405,4,8.0,1.0,1.0
-0.0002765538633367231,-0.015764144194895278,631.8330235228451,4,8.0,1.0,1.0
-0.0004313883187373057,-0.015796947406360496,673.2290450691773,4,8.0,1.0,1.0
1.1365634833796146e-5,-0.015508794600407773,758.2424299814287,4,8.0,1.0,1.0
0.0030796820697082815,-0.014463263403901073,807.7534618757044,4,8.0,1.0,1.0
-0.000292272156995866,-0.015369523771686511,1218.1420283646187,4,8.0,1.0,1.0
-0.0006937277578856202,-0.015661738231894765,1321.6395212990208,4,8.0,1.0,1.0
-0.00022252856738491113,-0.015040429052141919,1319.9984723326672,4,8.0,1.0,1.0
0.0029323233282740687,-0.014338102889108506,1409.6611362698231,4,8.0,1.0,1.0
-0.0001025951406656276,-0.015291416234490936,1494.645430635566,4,8.0,1.0,1.0
4.1100229994504544e-5,-0.015185470277035918,1574.285526415033,4,8.0,1.0,1.0
-0.004995466051661531,-0.01353621697286901,1575.10823189553,4,8.0,1.0,1.0
-0.0007980323347947217,-0.015703524234855423,1786.5459649017766,4,8.0,1.0,1.0
-0.0003280888332444871,-0.015694012689248114,1854.712182936406,4,8.0,1.0,1.0
-0.00031318806844764696,-0.01474425394352627,1942.6191519311926,4,8.0,1.0,1.0
0.005341266807192371,-0.01302025574301159,1997.9361664573394,4,8.0,1.0,1.0
0.00715786606171175,-0.011747446678794965,2747.8984207875465,4,8.0,1.0,1.0
-0.00410419963641059,-0.013908557311181893,2801.566990876903,4,8.0,1.0,1.0
0.006805224615761365,-0.011580136597869668,3239.0179931233815,4,8.0,1.0,1.0
-1.8653043234456142e-6,-0.01442068139222521,3675.1609345902048,4,8.0,1.0,1.0
-5.555035239445836e-5,-0.014570102427371076,3781.831314288055,4,8.0,1.0,1.0
0.008899713010246469,-0.010503631183307396,3908.036381974967,4,8.0,1.0,1.0
0.00027555151878122096,-0.014309822964292796,4018.7895607297596,4,8.0,1.0,1.0
-0.0001728257073999604,-0.013897356802473396,4371.065844642146,4,8.0,1.0,1.0
-0.014356270686349816,-0.005835681792797653,4664.25230290075,4,8.0,1.0,1.0
0.006742237887796283,-0.011375188437947225,4838.965969958645,4,8.0,1.0,1.0
-0.013046060888428803,-0.007375356644761038,5026.610904787204,4,8.0,1.0,1.0
0.01229462306756032,-0.007432741175872134,5037.850233944226,4,8.0,1.0,1.0
0.00011602849000192184,-0.01369439067315864,5068.330978672117,4,8.0,1.0,1.0
0.013565239932323689,-0.0061270237879698574,5118.971741479142,4,8.0,1.0,1.0
-0.014374612863680225,-0.0059885002367243015,5112.473318617111,4,8.0,1.0,1.0
0.00878150908925026,-0.009946430940966661,5397.596637712853,4,8.0,1.0,1.0
0.013582444092804003,-0.006046690551476591,5491.333415396921,4,8.0,1.0,1.0
-0.01289245565915264,-0.007054150750157362,5857.009036567453,4,8.0,1.0,1.0
-0.01378639615779193,-0.005303476683298461,5837.206622352849,4,8.0,1.0,1.0
-0.014375488294063044,-0.004743390605245228,6264.677974357341,4,8.0,1.0,1.0
-0.014333662332797438,-0.004661366829754244,6420.6107101199605,4,8.0,1.0,1.0
-0.012742697955371191,-0.006648581608871079,6407.941146588334,4,8.0,1.0,1.0
-0.01453255971193022,-0.005105987869969333,6561.869379745194,4,8.0,1.0,1.0
0.015163818359863869,-0.0044383928454829556,6672.878429197738,4,8.0,1.0,1.0
-0.014167035206047413,-0.00491227984098672,6880.489678063272,4,8.0,1.0,1.0
-0.012513796293313242,-0.006874676630666418,6891.9180344005035,4,8.0,1.0,1.0
-0.014786988213660954,-0.003896993513978679,7164.256081541381,4,8.0,1.0,1.0
-0.012352791366355115,-0.006613725728923881,7337.033452366608,4,8.0,1.0,1.0
0.015557275066626984,-0.00328563147233381,7367.24945415587,4,8.0,1.0,1.0
-0.01440645823417326,-0.004364113671980173,7583.293728456803,4,8.0,1.0,1.0
0.015075531432583516,-0.0038903733936715987,7763.620206174257,4,8.0,1.0,1.0
0.008223263644322106,-0.007639896060982596,7841.91832716383,4,8.0,1.0,1.0
0.00804879975341928,-0.007552177400385367,7974.732793183826,4,8.0,1.0,1.0
0.007999945728919811,-0.0077363702438327025,8025.386399423205,4,8.0,1.0,1.0
0.00828685628973609,-0.007470935197975319,8283.170528521141,4,8.0,1.0,1.0
0.015170219541267231,-0.002117294171139685,9588.687195321378,4,8.0,1.0,1.0
0.015228689885677348,-0.0027329170211399913,9538.264435018622,4,8.0,1.0,1.0
0.015141645561982204,-0.002172282543239458,9904.693833305972,4,8.0,1.0,1.0
0.015134584311431646,-0.0021375370289694125,9949.52729784518,4,8.0,1.0,1.0
0.01520826072359235,-0.0020605008301183697,9920.633781041253,4,8.0,1.0,1.0
-0.00022476257556084447,-0.015771504566449556,120.1292653288565,3,6.0,1.0,1.0
-0.0003236430285560448,-0.015667058761705988,122.76924593309802,3,6.0,1.0,1.0
-8.559677874742478e-5,-0.015696813076421828,125.85895273375787,3,6.0,1.0,1.0
-7.931753198870764e-5,-0.015577758392508273,176.1617688634141,3,6.0,1.0,1.0
-0.00014189997258010601,-0.015683848031243456,236.8860296747968,3,6.0,1.0,1.0
-0.0003695587180875233,-0.015604136562700679,236.22670967646854,3,6.0,1.0,1.0
-0.0002039356309111479,-0.015584366852763746,335.18014516896903,3,6.0,1.0,1.0
-0.0020755335913917408,-0.015074981559515317,484.6588834040712,3,6.0,1.0,1.0
2.6498564527459304e-5,-0.015597702754884877,489.59891497265664,3,6.0,1.0,1.0
-0.00014705510388502774,-0.01536643496699457,496.6717168101616,3,6.0,1.0,1.0
-0.00023671770527228415,-0.015787237948108223,537.3868066664538,3,6.0,1.0,1.0
-0.00045547989545708143,-0.015375439988566325,576.4997542641298,3,6.0,1.0,1.0
4.915500080356433e-5,-0.01554975736640224,566.2324353705833,3,6.0,1.0,1.0
-3.0248003611229116e-5,-0.015617185725109756,758.3242685504067,3,6.0,1.0,1.0
-0.0017189385140631967,-0.014526000026321886,798.2608046588872,3,6.0,1.0,1.0
0.0030742029045768863,-0.014455231743831256,860.0376654354233,3,6.0,1.0,1.0
-0.00010903967077729887,-0.015448299303797625,846.2990500703861,3,6.0,1.0,1.0
-5.72596518294016e-5,-0.01538993384785968,833.9803539026939,3,6.0,1.0,1.0
-0.00018398537629811944,-0.01575664183086455,844.515185039983,3,6.0,1.0,1.0
-6.203196738875908e-5,-0.015379931987215278,1047.1981468803083,3,6.0,1.0,1.0
-0.00434753658672931,-0.014167205282874016,1032.0785249702922,3,6.0,1.0,1.0
-0.0006504409265027288,-0.015252514306099217,1141.0466093071836,3,6.0,1.0,1.0
-0.0006572580005964729,-0.015252329185051811,1208.7792317490469,3,6.0,1.0,1.0
-0.00029212039012321687,-0.0156630330956032,1273.7632817512783,3,6.0,1.0,1.0
-9.378443710495197e-5,-0.015265421168555686,1269.804714081182,3,6.0,1.0,1.0
-0.0018059583856117041,-0.014724147378900794,1489.8650833866225,3,6.0,1.0,1.0
-0.0005362014340494658,-0.015393115986230619,1607.8856275912815,3,6.0,1.0,1.0
0.00022144219686983548,-0.015399416255576077,1566.1015869157957,3,6.0,1.0,1.0
-0.0002780107530583633,-0.015522535262353155,1772.1607322521713,3,6.0,1.0,1.0
0.0002711351168813193,-0.015245177718833174,1888.3116368297642,3,6.0,1.0,1.0
0.0002530082932521754,-0.015362608551522779,1968.0640258032697,3,6.0,1.0,1.0
-0.002155740607053672,-0.014066866893273798,1914.0675216499187,3,6.0,1.0,1.0
0.0053524474417593,-0.01305353174865797,1928.8704197179932,3,6.0,1.0,1.0
-0.001949720870474532,-0.014308378675076512,1988.021376792024,3,6.0,1.0,1.0
-0.00030750510754376265,-0.015109643086846763,1973.1769562933537,3,6.0,1.0,1.0
0.0004428342335802236,-0.015124054735657031,2092.731817018649,3,6.0,1.0,1.0
0.0033113226945688493,-0.01413783987860685,2107.017063843183,3,6.0,1.0,1.0
-0.007895893061757314,-0.01169746116194599,2087.159309766224,3,6.0,1.0,1.0
-0.004374051796835239,-0.014053336780402978,2323.2516378894156,3,6.0,1.0,1.0
9.130585521772637e-5,-0.014949218107004345,2389.9050960513932,3,6.0,1.0,1.0
-0.0044578422422666105,-0.014128682403293133,2361.5758893619977,3,6.0,1.0,1.0
0.008506671240934988,-0.010656965499667636,2448.151526958454,3,6.0,1.0,1.0
-0.008820554687435093,-0.01091060477730614,2540.1588617490324,3,6.0,1.0,1.0
-0.0006973573442290663,-0.015275199804195685,2604.6324638749866,3,6.0,1.0,1.0
-0.0043850472883137145,-0.01397817051810821,2632.2061703583304,3,6.0,1.0,1.0
-0.00387839524379226,-0.01400658977963899,2586.8727343475202,3,6.0,1.0,1.0
-0.004263457897743836,-0.0140094086550112,2602.8847977686173,3,6.0,1.0,1.0
-0.0042139644317686345,-0.014169407341237778,2742.136166392474,3,6.0,1.0,1.0
0.007951650042652763,-0.011093236741265989,2866.9944657839674,3,6.0,1.0,1.0
0.0072218571650015904,-0.011842043814493539,2742.7132316921547,3,6.0,1.0,1.0
0.009423821551044324,-0.010037207968698659,2960.2779469486873,3,6.0,1.0,1.0
-0.0008401312664734822,-0.014972243281277334,2971.3550894808377,3,6.0,1.0,1.0
-0.008507952523594695,-0.011200016068894023,3005.109342867982,3,6.0,1.0,1.0
0.0002648079734215558,-0.014562143810248847,3308.477294651629,3,6.0,1.0,1.0
0.008915370540483712,-0.01053451632940555,3342.769850706464,3,6.0,1.0,1.0
0.008780776458122362,-0.010603722451906137,3530.5107072588476,3,6.0,1.0,1.0
-0.004603394531186358,-0.013319163455091926,3611.1851984495493,3,6.0,1.0,1.0
-0.004377394343711461,-0.013826169704487716,3650.302101684528,3,6.0,1.0,1.0
