Time,Population,Uninfected Naive,Uninfected Immune,Infected Naive,Infected Immune,Dead
0.0,pop,11391,88605,4,0,0
10.0,pop,13424,86571,5,0,0
20.0,pop,16661,83335,4,0,0
30.0,pop,19844,80150,6,0,0
40.0,pop,22924,77069,7,0,0
50.0,pop,25786,74207,7,0,0
60.0,pop,28626,71371,3,0,0
70.0,pop,31283,68708,9,0,0
80.0,pop,33907,66082,11,0,0
90.0,pop,36449,63528,23,0,0
100.0,pop,38757,61189,54,0,0
110.0,pop,40795,59039,166,0,0
120.0,pop,42034,57303,663,0,0
130.0,pop,40806,56752,2440,2,0
140.0,pop,32893,60372,6730,5,0
150.0,pop,21253,69329,9410,8,0
160.0,pop,14823,77930,7240,7,0
170.0,pop,12888,82491,4620,1,0
180.0,pop,12903,84224,2871,2,0
190.0,pop,14096,84138,1765,1,0
200.0,pop,15772,82997,1228,3,0
210.0,pop,17583,81417,999,1,0
220.0,pop,19517,79680,803,0,0
230.0,pop,21503,77723,772,2,0
240.0,pop,23211,75890,899,0,0
250.0,pop,24544,74369,1085,2,0
260.0,pop,25393,73276,1329,2,0
270.0,pop,25661,72607,1728,4,0
280.0,pop,25167,72658,2172,3,0
290.0,pop,23981,73245,2770,4,0
300.0,pop,22316,74484,3192,8,0
310.0,pop,20602,75949,3440,9,0
320.0,pop,19408,77492,3092,8,0
330.0,pop,18736,78471,2787,6,0
340.0,pop,18469,79011,2515,5,0
350.0,pop,18648,79184,2164,4,0
360.0,pop,19102,79026,1866,6,0
370.0,pop,19776,78484,1735,5,0
380.0,pop,20484,77932,1579,5,0
390.0,pop,21272,77276,1451,1,0
400.0,pop,22045,76503,1445,7,0
410.0,pop,22524,75906,1568,2,0
420.0,pop,22692,75557,1746,5,0
430.0,pop,22851,75249,1886,14,0
440.0,pop,22735,75182,2079,4,0
450.0,pop,22383,75416,2192,9,0
460.0,pop,21746,75917,2333,4,0
470.0,pop,21237,76428,2326,9,0
480.0,pop,20685,76905,2402,8,0
490.0,pop,20341,77351,2299,9,0
500.0,pop,20022,77655,2318,5,0
510.0,pop,20094,77979,1919,8,0
520.0,pop,20202,77858,1931,9,0
530.0,pop,20516,77622,1859,3,0
540.0,pop,20754,77426,1810,10,0
550.0,pop,21173,77137,1683,7,0
560.0,pop,21515,76777,1705,3,0
570.0,pop,21679,76521,1790,10,0
580.0,pop,21738,76509,1742,11,0
590.0,pop,21871,76262,1856,11,0
600.0,pop,21675,76311,2001,13,0
610.0,pop,21407,76546,2032,15,0
620.0,pop,21134,76751,2105,10,0
630.0,pop,20956,77041,1986,17,0
640.0,pop,20676,77229,2086,9,0
650.0,pop,20429,77509,2048,14,0
660.0,pop,20294,77675,2019,12,0
670.0,pop,20316,77758,1919,7,0
680.0,pop,20421,77764,1801,14,0
690.0,pop,20632,77655,1704,9,0
700.0,pop,20854,77459,1676,11,0
710.0,pop,21069,77201,1718,12,0
720.0,pop,21216,77067,1702,15,0
730.0,pop,21391,76883,1708,18,0
740.0,pop,21497,76785,1710,8,0
750.0,pop,21461,76703,1819,17,0
760.0,pop,21411,76740,1837,12,0
770.0,pop,21187,76855,1942,16,0
780.0,pop,20896,77164,1923,17,0
790.0,pop,20662,77323,1995,20,0
800.0,pop,20514,77491,1968,27,0
810.0,pop,20247,77751,1983,19,0
820.0,pop,20017,77963,1998,22,0
830.0,pop,19913,78138,1934,15,0
840.0,pop,19851,78283,1838,28,0
850.0,pop,19856,78338,1788,18,0
860.0,pop,20092,78241,1645,22,0
870.0,pop,20291,78076,1617,16,0
880.0,pop,20417,77952,1617,14,0
890.0,pop,20631,77827,1531,11,0
900.0,pop,20975,77539,1469,17,0
910.0,pop,21299,77148,1539,14,0
920.0,pop,21369,76968,1649,14,0
930.0,pop,21212,77024,1742,22,0
940.0,pop,21239,76934,1811,16,0
950.0,pop,21014,77082,1884,20,0
960.0,pop,20632,77434,1913,21,0
970.0,pop,20446,77665,1865,24,0
980.0,pop,20207,77945,1824,24,0
990.0,pop,20171,78048,1757,24,0
1000.0,pop,20077,78144,1758,21,0
1010.0,pop,20142,78193,1649,16,0
1020.0,pop,20172,78218,1592,18,0
1030.0,pop,20314,78117,1552,17,0
1040.0,pop,20446,78016,1524,14,0
1050.0,pop,20641,77782,1556,21,0
1060.0,pop,20810,77654,1516,20,0
1070.0,pop,20835,77617,1532,16,0
1080.0,pop,21066,77410,1504,20,0
1090.0,pop,21187,77207,1587,19,0
1100.0,pop,21115,77122,1733,30,0
1110.0,pop,20947,77270,1757,26,0
1120.0,pop,20830,77465,1679,26,0
1130.0,pop,20705,77581,1683,31,0
1140.0,pop,20612,77690,1672,26,0
1150.0,pop,20596,77741,1639,24,0
1160.0,pop,20539,77767,1665,29,0
1170.0,pop,20524,77896,1559,21,0
1180.0,pop,20460,77879,1641,20,0
1190.0,pop,20362,77957,1656,25,0
