Component 1,Component 2,Time,Occurrences,Occurrences_mod,Alpha,Linewidth
-0.024748383526560058,0.010603230678147835,4.543419511020066,22,40.0,1.0,1.0
0.005691979121112383,0.009287597446567437,8567.183305052662,9,18.0,1.0,1.0
-0.022594529253140535,0.00992411689301624,459.34747082519266,8,16.0,1.0,1.0
-0.014984442430530268,0.006619809629357339,1929.0636364413438,8,16.0,1.0,1.0
-0.014356333390861818,0.003152836203178744,2936.464921179472,8,16.0,1.0,1.0
-0.020720729257168852,0.011925941813562524,243.26687014620106,6,12.0,1.0,1.0
-0.012196063151368312,0.0028927676675330086,3213.2308555494105,6,12.0,1.0,1.0
-0.006258932936274023,-0.0029265157213333266,4838.006908641368,6,12.0,1.0,1.0
0.00947839368107051,0.01663107841658289,7025.574811300338,6,12.0,1.0,1.0
0.00810862546631274,0.014144319291447379,7232.442991496358,6,12.0,1.0,1.0
-0.02352688251387197,0.010305927498062549,238.48520063041585,5,10.0,1.0,1.0
-0.01499170889214679,0.005038802287207567,1369.7483894457846,5,10.0,1.0,1.0
-0.014104121954606724,0.006324665745884254,1781.162608997742,5,10.0,1.0,1.0
-0.00774719703783429,-0.008561189853169476,2853.458738440087,5,10.0,1.0,1.0
-0.004792518725622246,0.0010334237317302748,3706.449794672119,5,10.0,1.0,1.0
0.007579129759303076,0.0173924069324902,6017.829621540181,5,10.0,1.0,1.0
0.012347828695216343,0.022743169574086574,6568.4591604959805,5,10.0,1.0,1.0
0.008333889696020625,0.0167870085983048,6559.714150011003,5,10.0,1.0,1.0
0.008941764238907529,0.014247115790048318,7830.28004771864,5,10.0,1.0,1.0
0.007143451353959187,0.010864612200582867,8839.992467902432,5,10.0,1.0,1.0
0.009165199261245266,0.016128951448676928,8831.912532038365,5,10.0,1.0,1.0
0.00426143733465717,0.006356310941814392,9895.848116715204,5,10.0,1.0,1.0
0.006143472809067974,0.010999009346673201,9911.974576949347,5,10.0,1.0,1.0
