Time,Population,Uninfected Naive,Uninfected Immune,Infected Naive,Infected Immune,Dead
0.0,pop,99994,0,6,0,0
10.0,pop,98308,372,1318,2,0
20.0,pop,35385,22368,42193,54,0
30.0,pop,4147,70443,25388,22,0
40.0,pop,3541,87588,8865,6,0
50.0,pop,5241,91457,3302,0,0
60.0,pop,7515,91047,1435,3,0
70.0,pop,10195,89143,661,1,0
80.0,pop,13011,86631,356,2,0
90.0,pop,15762,83991,247,0,0
100.0,pop,18509,81296,195,0,0
110.0,pop,21098,78724,178,0,0
120.0,pop,23628,76177,195,0,0
130.0,pop,25897,73826,277,0,0
140.0,pop,27914,71664,422,0,0
150.0,pop,29356,69891,752,1,0
160.0,pop,29902,68720,1376,2,0
170.0,pop,29191,68519,2283,7,0
180.0,pop,26543,69910,3539,8,0
190.0,pop,22715,72858,4421,6,0
200.0,pop,19761,75923,4311,5,0
210.0,pop,17665,78550,3776,9,0
220.0,pop,16817,80154,3024,5,0
230.0,pop,16863,80803,2330,4,0
240.0,pop,17446,80659,1893,2,0
250.0,pop,18567,79964,1467,2,0
260.0,pop,19644,79003,1351,2,0
270.0,pop,20743,77920,1336,1,0
280.0,pop,21770,76895,1333,2,0
290.0,pop,22477,75959,1561,3,0
300.0,pop,22932,75385,1683,0,0
310.0,pop,22919,75057,2019,5,0
320.0,pop,22538,75198,2259,5,0
330.0,pop,22024,75573,2401,2,0
340.0,pop,21391,76065,2537,7,0
350.0,pop,20898,76587,2510,5,0
360.0,pop,20450,77073,2473,4,0
370.0,pop,20259,77526,2213,2,0
380.0,pop,20345,77653,1997,5,0
390.0,pop,20591,77547,1859,3,0
400.0,pop,20902,77231,1854,13,0
410.0,pop,21332,76917,1744,7,0
420.0,pop,21520,76562,1915,3,0
430.0,pop,21646,76375,1978,1,0
440.0,pop,21407,76429,2153,11,0
450.0,pop,21124,76613,2254,9,0
460.0,pop,20832,77030,2133,5,0
470.0,pop,20634,77212,2149,5,0
480.0,pop,20556,77363,2074,7,0
490.0,pop,20629,77390,1975,6,0
500.0,pop,20817,77303,1870,10,0
510.0,pop,21190,77032,1770,8,0
520.0,pop,21491,76746,1760,3,0
530.0,pop,21716,76506,1774,4,0
540.0,pop,21808,76295,1889,8,0
550.0,pop,21952,76121,1917,10,0
560.0,pop,21980,76120,1896,4,0
570.0,pop,21856,76025,2112,7,0
580.0,pop,21580,76250,2159,11,0
590.0,pop,21136,76563,2292,9,0
600.0,pop,20727,76914,2355,4,0
610.0,pop,20305,77423,2264,8,0
620.0,pop,20055,77782,2155,8,0
630.0,pop,20041,77959,1995,5,0
640.0,pop,20289,77827,1874,10,0
650.0,pop,20683,77561,1748,8,0
660.0,pop,20911,77245,1840,4,0
670.0,pop,21008,77067,1919,6,0
680.0,pop,21079,77017,1896,8,0
690.0,pop,21098,76964,1928,10,0
700.0,pop,21157,76899,1935,9,0
710.0,pop,20936,76956,2098,10,0
720.0,pop,20786,77140,2060,14,0
730.0,pop,20658,77212,2121,9,0
740.0,pop,20572,77344,2070,14,0
750.0,pop,20342,77538,2113,7,0
760.0,pop,20256,77717,2019,8,0
770.0,pop,20218,77833,1939,10,0
780.0,pop,20289,77821,1880,10,0
790.0,pop,20370,77783,1835,12,0
800.0,pop,20732,77561,1698,9,0
810.0,pop,20998,77296,1695,11,0
820.0,pop,21236,77049,1704,11,0
830.0,pop,21285,76942,1765,8,0
840.0,pop,21201,76851,1937,11,0
850.0,pop,21159,76829,1995,17,0
860.0,pop,20893,76937,2155,15,0
870.0,pop,20466,77321,2204,9,0
880.0,pop,20251,77620,2114,15,0
890.0,pop,19840,78002,2148,10,0
900.0,pop,19696,78142,2149,13,0
910.0,pop,19555,78376,2053,16,0
920.0,pop,19487,78538,1960,15,0
930.0,pop,19521,78575,1891,13,0
940.0,pop,19720,78491,1778,11,0
950.0,pop,19971,78290,1719,20,0
960.0,pop,20145,78146,1693,16,0
970.0,pop,20276,78015,1693,16,0
980.0,pop,20499,77847,1638,16,0
990.0,pop,20767,77629,1581,23,0
1000.0,pop,21030,77261,1701,8,0
1010.0,pop,21179,77095,1713,13,0
1020.0,pop,21224,77046,1713,17,0
1030.0,pop,21374,76837,1768,21,0
1040.0,pop,21276,76826,1881,17,0
1050.0,pop,21211,76979,1783,27,0
1060.0,pop,21303,76953,1733,11,0
1070.0,pop,21225,76957,1806,12,0
1080.0,pop,21227,76989,1768,16,0
1090.0,pop,21004,77049,1928,19,0
1100.0,pop,20832,77325,1822,21,0
1110.0,pop,20675,77431,1873,21,0
1120.0,pop,20395,77662,1927,16,0
1130.0,pop,20298,77882,1798,22,0
1140.0,pop,20248,77954,1768,30,0
1150.0,pop,20318,77952,1708,22,0
1160.0,pop,20281,78014,1681,24,0
1170.0,pop,20359,78058,1562,21,0
1180.0,pop,20568,77838,1567,27,0
1190.0,pop,20746,77702,1536,16,0
1200.0,pop,20761,77554,1665,20,0
1210.0,pop,20806,77601,1571,22,0
1220.0,pop,20867,77551,1553,29,0
1230.0,pop,20880,77548,1551,21,0
1240.0,pop,21099,77365,1513,23,0
1250.0,pop,21077,77301,1605,17,0
1260.0,pop,21119,77208,1652,21,0
1270.0,pop,20985,77268,1721,26,0
1280.0,pop,20787,77386,1801,26,0
1290.0,pop,20616,77626,1733,25,0
1300.0,pop,20359,77786,1834,21,0
1310.0,pop,20188,78042,1748,22,0
1320.0,pop,20042,78198,1729,31,0
1330.0,pop,20012,78301,1665,22,0
1340.0,pop,20103,78249,1616,32,0
