Component 1,Component 2,Time,Occurrences,Occurrences_mod,Alpha,Linewidth
-0.013554830549796337,-0.0028324340117535096,0.0,42,40.0,1.0,1.0
-0.00781369573939024,-0.009600027742731235,4629.3025384326465,11,22.0,1.0,1.0
-0.010574857812032296,0.005850698332951127,4235.348905004635,7,14.0,1.0,1.0
-0.006211929317163207,-0.0107969570841506,5074.983780022262,7,14.0,1.0,1.0
-0.013698366238019255,-0.0032274933587009337,1137.6617189088263,6,12.0,1.0,1.0
-0.013418420076047745,-0.0033389495605611807,2065.7082103290822,6,12.0,1.0,1.0
-0.010371944857932644,0.005683207897065977,4695.251109998756,6,12.0,1.0,1.0
-0.010081435670713101,0.006602609920836422,4932.465635396559,6,12.0,1.0,1.0
-0.007063294260471024,0.00847114616323987,7392.2039785942825,6,12.0,1.0,1.0
-0.013508473746312262,-0.0028141301458027177,11.343052341191521,5,10.0,1.0,1.0
-0.013505639899009885,-0.002882318353720711,126.18480984031082,5,10.0,1.0,1.0
-0.0126204255026263,0.0004929551185513716,2021.4412405780977,5,10.0,1.0,1.0
-0.011518565569131962,0.003390165148959011,3424.703170933131,5,10.0,1.0,1.0
-0.0035354347689313045,-0.01359272109375625,6206.967421784051,5,10.0,1.0,1.0
-0.00038901494186676283,-0.016186213487266173,7236.919178067043,5,10.0,1.0,1.0
-0.003103304583621576,0.012360513996947283,8730.028204060021,5,10.0,1.0,1.0
-0.013481462945558876,-0.002813403810667011,11.627601135803483,4,8.0,1.0,1.0
-0.013351430755429139,-0.00281260979914938,227.56757718087655,4,8.0,1.0,1.0
-0.013474281770189786,-0.002335999401378378,220.18602479201178,4,8.0,1.0,1.0
-0.013572369270111153,-0.0027887821145732615,145.42738946218157,4,8.0,1.0,1.0
-0.013501146490858274,-0.0025945914213738918,251.78048643064145,4,8.0,1.0,1.0
-0.01343336457365429,-0.0028352211791760618,366.1369284945338,4,8.0,1.0,1.0
-0.013298196897221556,-0.002851607243540874,599.686346526901,4,8.0,1.0,1.0
-0.013321410165586993,-0.002690340579864565,532.1181216930097,4,8.0,1.0,1.0
-0.013277641498888245,-0.002767167390698481,703.6321566707745,4,8.0,1.0,1.0
-0.013039425870843026,-0.0028444472422445503,806.9365133903787,4,8.0,1.0,1.0
-0.013388858956899136,-0.0026531485201101326,748.0054144941765,4,8.0,1.0,1.0
-0.01344923216970697,-0.0027455980092764387,1066.8809720698828,4,8.0,1.0,1.0
-0.013514489232793069,-0.0032666396130993395,1463.1741303761066,4,8.0,1.0,1.0
-0.012879396137759652,-0.0020906826635716433,1477.9797740708714,4,8.0,1.0,1.0
-0.012660861157264692,-0.0029915130294489345,1566.8137975340298,4,8.0,1.0,1.0
-0.012795611240387509,-0.0022471385322251386,1625.6716832041323,4,8.0,1.0,1.0
-0.013468930638908493,-0.003572012284861788,1716.8478655180945,4,8.0,1.0,1.0
-0.012897929071873366,-0.002505353389346833,1671.4056029570897,4,8.0,1.0,1.0
-0.013493078604425956,-0.003391077492190009,1948.6108793215221,4,8.0,1.0,1.0
-0.012301354270697819,0.0024132532297541018,2024.1733142495852,4,8.0,1.0,1.0
-0.012545747356505857,-0.0025213255546419474,2023.4617236726726,4,8.0,1.0,1.0
-0.013554147345523702,-0.0034860180109773497,2042.031928587878,4,8.0,1.0,1.0
-0.011973899614353665,0.003340821330291995,2476.3584371706206,4,8.0,1.0,1.0
-0.010952682123583444,-0.006108665841170916,2482.720172401899,4,8.0,1.0,1.0
-0.013224262017716407,-0.0033860403799580076,2543.9080009403883,4,8.0,1.0,1.0
-0.013091037818979193,-0.0034373959704015636,3106.8183918434165,4,8.0,1.0,1.0
-0.012918033691420085,-0.0033658273374623997,3147.7987236997938,4,8.0,1.0,1.0
-0.011054303863971002,0.005206722799841903,3860.628026687667,4,8.0,1.0,1.0
-0.011050524114475716,0.005218068234462698,3868.966005689907,4,8.0,1.0,1.0
-0.01275553217887009,-0.0028817030209056724,4778.2126663025565,4,8.0,1.0,1.0
-0.0062901659248345695,-0.010750255085377783,5093.333443678307,4,8.0,1.0,1.0
-0.006101061388719759,-0.01104682103949714,5265.150406461178,4,8.0,1.0,1.0
-0.008679382585117393,0.008677168920984727,5751.1465787322495,4,8.0,1.0,1.0
-0.00861851548491895,0.008485849369737872,5806.885287153203,4,8.0,1.0,1.0
-0.0002948393590249656,-0.015730998153531135,7380.279620989251,4,8.0,1.0,1.0
-0.0048675364729928285,0.009640493959953122,8755.002676571334,4,8.0,1.0,1.0
-0.008788583697793324,-0.0035426300733935826,9005.51564978329,4,8.0,1.0,1.0
-0.013544825038436528,-0.0028297591908515995,13.797387329744105,3,6.0,1.0,1.0
-0.013537720237992336,-0.0028384155449907907,7.483990748042189,3,6.0,1.0,1.0
-0.013507776103134314,-0.0028070474666302145,3.9899011392599832,3,6.0,1.0,1.0
-0.01351100658844922,-0.0028977319998681086,12.440588848659225,3,6.0,1.0,1.0
-0.01351811114505186,-0.0027584182702699534,12.261445781507762,3,6.0,1.0,1.0
-0.013534880225076014,-0.0028159388348347907,7.826493653550609,3,6.0,1.0,1.0
-0.013453574463653637,-0.002800169457988759,16.768352997845128,3,6.0,1.0,1.0
-0.013542220489545195,-0.0028140451355501525,7.215645624043473,3,6.0,1.0,1.0
-0.013533429476105955,-0.002811421384609847,13.999573642707324,3,6.0,1.0,1.0
-0.013567175412612082,-0.0028307494911321814,32.44969731782687,3,6.0,1.0,1.0
-0.0135249265268702,-0.0027780398870605235,142.6168192231769,3,6.0,1.0,1.0
-0.0132556314822475,-0.0031040589294772905,271.9739489475064,3,6.0,1.0,1.0
-0.013628155509859541,-0.0028588432222093813,273.85701076418036,3,6.0,1.0,1.0
-0.013387751012886216,-0.0028101140070545243,429.742049749838,3,6.0,1.0,1.0
-0.013338800912139615,-0.0025696925150445007,509.74421485091256,3,6.0,1.0,1.0
-0.013368413980372532,-0.0026507795804980414,415.41102082754514,3,6.0,1.0,1.0
-0.013281346318582363,-0.0027957464630377522,542.5689667625938,3,6.0,1.0,1.0
-0.013033368950959207,-0.0026762850258001923,708.4319996963641,3,6.0,1.0,1.0
-0.013339946344317889,-0.0029027358460197994,740.2592800330461,3,6.0,1.0,1.0
-0.013276759933880496,-0.0024581571250013004,834.1806520213869,3,6.0,1.0,1.0
-0.013275193494946798,-0.002459498778843795,909.2018186684621,3,6.0,1.0,1.0
-0.012059098100759136,-0.004853778441628919,1079.3731372694938,3,6.0,1.0,1.0
-0.013706082380968558,-0.0033136337580470915,1111.6738657266978,3,6.0,1.0,1.0
-0.013622480552138603,-0.003247945775316372,1167.6138198707745,3,6.0,1.0,1.0
-0.013057836645932703,-0.002590638108710257,1206.599101017905,3,6.0,1.0,1.0
-0.013612291957584866,-0.0032361987339552603,1191.154762533896,3,6.0,1.0,1.0
-0.013583620692299181,-0.00310610942372289,1294.52593531279,3,6.0,1.0,1.0
-0.013163512585182368,-0.0028690587567859176,1297.4991954174056,3,6.0,1.0,1.0
-0.013175910381425435,-0.0023889969367348034,1247.7262772182864,3,6.0,1.0,1.0
-0.013109554307672243,-0.0027838757803880392,1312.109560056343,3,6.0,1.0,1.0
-0.012916053008033817,0.00027210495423482593,1345.9180936481948,3,6.0,1.0,1.0
-0.013104767569805144,-0.002718892436504017,1530.3216176200733,3,6.0,1.0,1.0
-0.012883425570710635,-0.0022360418019100516,1585.9320176189797,3,6.0,1.0,1.0
-0.013481847326014615,-0.003038668314838218,1565.7148755527078,3,6.0,1.0,1.0
-0.013593408009685828,-0.0031474315492172663,1607.4102222914387,3,6.0,1.0,1.0
-0.01303738990041569,-0.0022528807724812513,1602.7618320582392,3,6.0,1.0,1.0
-0.011211761737838567,-0.006154945247337994,1678.0144390118535,3,6.0,1.0,1.0
-0.01299512872988077,-0.002455470216560263,1789.4179908609324,3,6.0,1.0,1.0
-0.012702047843812243,0.00046224045381764996,1807.328046517505,3,6.0,1.0,1.0
