Time,Population,Uninfected Naive,Uninfected Immune,Infected Naive,Infected Immune,Dead
0.0,pop,98999,0,1001,0,0
2.0,pop,88860,3024,7747,369,0
4.0,pop,51955,18930,27769,1346,0
6.0,pop,20116,48529,29853,1502,0
8.0,pop,11441,70342,17328,889,0
10.0,pop,10297,80310,8982,411,0
12.0,pop,11320,83715,4733,232,0
14.0,pop,13396,83944,2533,127,0
16.0,pop,15783,82638,1496,83,0
18.0,pop,18455,80596,903,46,0
20.0,pop,21110,78257,605,28,0
22.0,pop,23867,75692,414,27,0
24.0,pop,26623,73012,350,15,0
26.0,pop,29160,70478,341,21,0
28.0,pop,31575,68075,338,12,0
30.0,pop,33930,65741,314,15,0
32.0,pop,36101,63533,352,14,0
34.0,pop,38192,61419,368,21,0
36.0,pop,40089,59442,454,15,0
38.0,pop,41730,57654,592,24,0
40.0,pop,42988,56106,868,38,0
42.0,pop,43807,54865,1259,69,0
44.0,pop,43951,54172,1789,88,0
46.0,pop,42986,54172,2732,110,0
48.0,pop,40917,55174,3710,199,0
50.0,pop,37938,57166,4666,230,0
52.0,pop,34565,59703,5440,292,0
54.0,pop,31385,62673,5662,280,0
56.0,pop,28835,65649,5217,299,0
58.0,pop,27278,67871,4611,240,0
60.0,pop,26509,69356,3945,190,0
62.0,pop,26309,70097,3420,174,0
64.0,pop,26557,70408,2882,153,0
66.0,pop,27192,70241,2440,127,0
68.0,pop,27962,69756,2168,114,0
70.0,pop,28831,69124,1937,108,0
72.0,pop,29894,68222,1794,90,0
74.0,pop,30978,67271,1666,85,0
76.0,pop,31969,66272,1693,66,0
78.0,pop,32914,65296,1711,79,0
80.0,pop,33690,64444,1764,102,0
82.0,pop,34398,63727,1783,92,0
84.0,pop,34828,63114,1959,99,0
86.0,pop,35020,62638,2234,108,0
88.0,pop,34792,62561,2525,122,0
90.0,pop,34514,62610,2735,141,0
92.0,pop,33721,62966,3161,152,0
94.0,pop,32824,63673,3346,157,0
96.0,pop,31933,64406,3458,203,0
98.0,pop,31157,65318,3367,158,0
100.0,pop,30770,65909,3162,159,0
102.0,pop,30470,66349,3026,155,0
104.0,pop,30296,66667,2896,141,0
106.0,pop,30306,66836,2728,130,0
108.0,pop,30393,66855,2621,131,0
110.0,pop,30507,66801,2568,124,0
112.0,pop,30854,66593,2436,117,0
114.0,pop,31076,66336,2485,103,0
116.0,pop,31271,66176,2434,119,0
118.0,pop,31562,65922,2405,111,0
120.0,pop,31819,65773,2293,115,0
122.0,pop,32099,65446,2320,135,0
124.0,pop,32477,65099,2301,123,0
126.0,pop,32532,64888,2446,134,0
128.0,pop,32588,64705,2566,141,0
130.0,pop,32558,64708,2629,105,0
132.0,pop,32371,64779,2701,149,0
134.0,pop,32396,64851,2616,137,0
136.0,pop,32424,64804,2632,140,0
138.0,pop,32392,64752,2728,128,0
140.0,pop,32157,64957,2756,130,0
142.0,pop,31830,65288,2721,161,0
144.0,pop,31643,65441,2761,155,0
146.0,pop,31618,65507,2740,135,0
148.0,pop,31600,65573,2701,126,0
150.0,pop,31448,65706,2706,140,0
152.0,pop,31385,65822,2647,146,0
154.0,pop,31606,65769,2508,117,0
156.0,pop,31790,65626,2470,114,0
158.0,pop,31891,65569,2412,128,0
160.0,pop,32069,65383,2414,134,0
162.0,pop,32123,65232,2534,111,0
164.0,pop,32142,65172,2546,140,0
166.0,pop,32287,65119,2462,132,0
168.0,pop,32477,64943,2455,125,0
170.0,pop,32509,64837,2509,145,0
172.0,pop,32393,64845,2616,146,0
174.0,pop,32357,64914,2594,135,0
176.0,pop,32268,64928,2675,129,0
178.0,pop,32212,64955,2715,118,0
180.0,pop,31992,65051,2801,156,0
182.0,pop,31624,65393,2850,133,0
184.0,pop,31441,65541,2866,152,0
186.0,pop,31125,65805,2912,158,0
188.0,pop,30918,66087,2840,155,0
190.0,pop,30848,66317,2696,139,0
192.0,pop,30812,66329,2729,130,0
194.0,pop,30796,66391,2685,128,0
196.0,pop,30809,66488,2568,135,0
198.0,pop,30938,66407,2537,118,0
200.0,pop,31224,66294,2351,131,0
