Component 1,Component 2,Time,Occurrences,Occurrences_mod,Alpha,Linewidth
-0.06915716632782909,0.002934727611670065,4.478236635729054,27,40.0,1.0,1.0
-0.06915628321927546,0.002943940787871524,0.0,110,40.0,1.0,1.0
-0.06915802762584315,0.0029347315086049,2.994114100509729,34,40.0,1.0,1.0
-0.06922483219176662,0.002853953196998873,20.25025315607313,24,40.0,1.0,1.0
-0.0691625179591431,0.0029211353726584783,10.367293498402237,18,36.0,1.0,1.0
-0.06915649435243247,0.002934790254199799,10.348712878836928,18,36.0,1.0,1.0
-0.06917167971693246,0.002903156140892279,12.904001362633688,17,34.0,1.0,1.0
-0.06915655308672664,0.0029347783850691518,17.62467680981599,17,34.0,1.0,1.0
-0.06915696138178014,0.00293478557965295,5.563841560371217,15,30.0,1.0,1.0
-0.06916089780128484,0.0029211435873517247,18.971056192364383,15,30.0,1.0,1.0
-0.06916174751922063,0.0029210714697301106,11.385102551345792,14,28.0,1.0,1.0
-0.06916332481733782,0.002921086606157822,18.61255168355218,14,28.0,1.0,1.0
-0.06916262262156167,0.002921142184798255,8.77284719526916,14,28.0,1.0,1.0
-0.06916337219154048,0.002921086672083328,19.526841305493704,14,28.0,1.0,1.0
-0.0691755860138302,0.002903079584343676,26.722553526578533,14,28.0,1.0,1.0
-0.06916080482847856,0.0029211569814860646,12.968813045827886,13,26.0,1.0,1.0
-0.06916174751922063,0.0029210714697301037,11.506954906427481,13,26.0,1.0,1.0
-0.06917316827954145,0.002903098765013883,11.347549535373759,12,24.0,1.0,1.0
-0.06916062698676173,0.0029211573188996347,9.169966097671058,12,24.0,1.0,1.0
-0.06915754229859504,0.0029347718626293474,6.824989960018322,11,22.0,1.0,1.0
-0.06915644602039515,0.002934787662949101,10.098726471247412,11,22.0,1.0,1.0
-0.06915654269641563,0.002934792855170752,8.99213949634202,11,22.0,1.0,1.0
-0.06916159302762556,0.0029211632869399675,15.123805252589795,11,22.0,1.0,1.0
-0.06917533293987703,0.002903061393759871,19.401983505212396,11,22.0,1.0,1.0
-0.06916102498503567,0.002921166237299705,11.662311005211816,9,18.0,1.0,1.0
-0.06915655590061942,0.002934793993731908,10.611775121241967,9,18.0,1.0,1.0
-0.06915644602039515,0.002934787662949101,13.145938612921356,9,18.0,1.0,1.0
-0.06919504392486006,0.002880810596852158,16.960814309938076,9,18.0,1.0,1.0
-0.0691916956927895,0.002880732540021426,21.616834370805893,9,18.0,1.0,1.0
-0.06917138392693757,0.002903140114295584,18.337633878409438,9,18.0,1.0,1.0
-0.06917398872169615,0.002903116861396073,26.24178899173692,9,18.0,1.0,1.0
-0.06915644602039515,0.002934787662949101,11.317960314303862,8,16.0,1.0,1.0
-0.06917231547707137,0.0029030908920559513,20.969271601254576,8,16.0,1.0,1.0
-0.06916062698676172,0.0029211573188996183,19.747132922102676,8,16.0,1.0,1.0
-0.06916174751922063,0.0029210714697300855,8.926728553497384,7,14.0,1.0,1.0
-0.06916097959278578,0.0029211702666692525,13.026797785774255,7,14.0,1.0,1.0
-0.06915702080848572,0.0029347194121514186,8.636520421886896,7,14.0,1.0,1.0
-0.06915644602039515,0.002934787662949101,18.377718936394093,7,14.0,1.0,1.0
-0.06915644602039515,0.002934787662949101,13.351801320224968,7,14.0,1.0,1.0
-0.0691607316296425,0.002921164115262746,14.937470887222362,7,14.0,1.0,1.0
-0.0691735439219767,0.002903083788354704,21.027335764259494,7,14.0,1.0,1.0
-0.06916085197457664,0.002921156862200808,17.433994711345886,7,14.0,1.0,1.0
-0.06917138392693757,0.002903140114295584,21.831727107946204,7,14.0,1.0,1.0
-0.06916145770751297,0.002921144730220254,9.256052453060883,6,12.0,1.0,1.0
-0.06915644602039515,0.002934787662949101,12.712553435118947,6,12.0,1.0,1.0
-0.06915731631530997,0.0029347458197017053,7.877604460673633,6,12.0,1.0,1.0
-0.0691566443321787,0.0029347926720887573,3.0233101916958116,6,12.0,1.0,1.0
-0.06917555114837216,0.0029030429946411904,15.174604936172686,6,12.0,1.0,1.0
-0.06919660047009162,0.002880721476077114,18.409800491801594,6,12.0,1.0,1.0
-0.06916077400862955,0.0029211605921348987,14.596071764815559,6,12.0,1.0,1.0
-0.06916090899720866,0.0029211626188262534,10.564903741482444,5,10.0,1.0,1.0
