Component 1,Component 2,Time,Occurrences,Occurrences_mod,Alpha,Linewidth
-0.006728744965273203,-0.03004211553384728,0.0,109,40.0,1.0,1.0
-0.004378151719739575,-0.03281518482393913,570.0,73,40.0,1.0,1.0
-0.002410226205541659,-0.03549785089689878,860.0,126,40.0,1.0,1.0
-0.00507472141537979,-0.03163393739106126,1120.0,39,40.0,1.0,1.0
-0.023047581421997934,-0.003570586798212797,1430.0,261,40.0,1.0,1.0
-0.023037728307724718,-0.0034821662022097347,4200.0,20,40.0,1.0,1.0
-0.02291834404829637,-0.003196539512252931,5440.0,21,40.0,1.0,1.0
-0.0230096071500298,-0.002918095719334563,5460.0,50,40.0,1.0,1.0
-0.026660295835018128,0.017073649322707073,5740.0,163,40.0,1.0,1.0
-0.023410072618552817,-0.0017241096591213486,5890.0,98,40.0,1.0,1.0
-0.023107471976001954,-0.0027993871023969303,6010.0,46,40.0,1.0,1.0
-0.023128402837305266,-0.0026836317205330444,6100.0,52,40.0,1.0,1.0
-0.023189317355909803,-0.002502601680956699,6150.0,58,40.0,1.0,1.0
-0.02653304444509193,0.017642041731130993,9350.0,27,40.0,1.0,1.0
-0.0063252411991775535,-0.030369440275520968,650.0,19,38.0,1.0,1.0
-0.023064757435573093,-0.0035886411816842276,4890.0,18,36.0,1.0,1.0
-0.02298952037198089,-0.003515027521391092,9140.0,14,28.0,1.0,1.0
-0.026507659631885762,0.017482218990675907,9730.0,14,28.0,1.0,1.0
-0.006164408946498475,-0.03075587348223398,1040.0,12,24.0,1.0,1.0
-0.02306681339077507,-0.0034319616352188483,5570.0,12,24.0,1.0,1.0
-0.006336070455419059,-0.03043475426332163,750.0,11,22.0,1.0,1.0
-0.023052869223756073,-0.0034316827952465697,5720.0,11,22.0,1.0,1.0
-0.023072882998178206,-0.002958306567783807,7350.0,11,22.0,1.0,1.0
-0.0230745643686622,-0.002927585967113773,7870.0,11,22.0,1.0,1.0
-0.02650928721984625,0.01732407893001799,9170.0,11,22.0,1.0,1.0
-0.023066909555138165,-0.003471877720813566,4210.0,9,18.0,1.0,1.0
-0.02189029451747523,-0.004969952734183746,4700.0,9,18.0,1.0,1.0
-0.023027735915670738,-0.003520385955353901,4990.0,9,18.0,1.0,1.0
-0.022969509823516684,-0.0033766171996969002,5210.0,9,18.0,1.0,1.0
-0.022846915110929154,-0.00348432580499061,5730.0,9,18.0,1.0,1.0
-0.0067370768533135785,-0.030114695473453364,1430.0,8,16.0,1.0,1.0
-0.005075584656616141,-0.0316971668077562,3790.0,8,16.0,1.0,1.0
-0.0230504106920202,-0.00350947636266014,4520.0,8,16.0,1.0,1.0
-0.022956245702355434,-0.003501282714177788,5300.0,8,16.0,1.0,1.0
-0.02662396673202842,0.017137857822501115,9530.0,8,16.0,1.0,1.0
-0.0066386280925737,-0.03011197698634504,110.0,7,14.0,1.0,1.0
-0.006674892647384107,-0.030207674067491277,360.0,7,14.0,1.0,1.0
-0.0064888441139306025,-0.030249226498826467,510.0,7,14.0,1.0,1.0
-0.006513005913456176,-0.030247990272806377,620.0,7,14.0,1.0,1.0
-0.023085590980104313,-0.003568142817366323,4100.0,7,14.0,1.0,1.0
-0.022927925790557763,-0.003490493543985574,4240.0,7,14.0,1.0,1.0
-0.02316185848709101,-0.002719875679282524,7280.0,7,14.0,1.0,1.0
-0.02662829154317516,0.017222299578810073,9310.0,7,14.0,1.0,1.0
-0.006704618773363897,-0.03013015171384263,870.0,6,12.0,1.0,1.0
-0.006700678032460607,-0.030131909959021267,990.0,6,12.0,1.0,1.0
-0.0050341421673669225,-0.03168857277274688,2410.0,6,12.0,1.0,1.0
-0.004299043218094668,-0.03287028063842415,3410.0,6,12.0,1.0,1.0
-0.02309292026836997,-0.0035199264572325136,3510.0,6,12.0,1.0,1.0
-0.0024199358745321795,-0.03553044534667302,3720.0,6,12.0,1.0,1.0
-0.023044493246973153,-0.003478723105588975,3770.0,6,12.0,1.0,1.0
-0.02302105034746679,-0.003474298900499985,3890.0,6,12.0,1.0,1.0
-0.023013108720144896,-0.0035626171112239703,4030.0,6,12.0,1.0,1.0
-0.023046642962043846,-0.0035341312875001966,4440.0,6,12.0,1.0,1.0
-0.023075950247953055,-0.003519844945925051,5190.0,6,12.0,1.0,1.0
-0.023120384406068815,-0.003464328619898807,5590.0,6,12.0,1.0,1.0
-0.02303802231445864,-0.0034190552767510876,5990.0,6,12.0,1.0,1.0
-0.023179254823916605,-0.0025326989633392446,7670.0,6,12.0,1.0,1.0
-0.026651000862493293,0.017203117448768998,8900.0,6,12.0,1.0,1.0
-0.026658919423881548,0.017123365468808195,9210.0,6,12.0,1.0,1.0
-0.026592325542067925,0.0173399924280214,9420.0,6,12.0,1.0,1.0
-0.026616344992389896,0.017195700743374714,9800.0,6,12.0,1.0,1.0
