Time,Population,Uninfected Naive,Uninfected Immune,Infected Naive,Infected Immune,Dead
0.0,pop,9499,0,501,0,0
3.0,pop,9032,328,627,13,0
6.0,pop,8606,675,692,27,0
9.0,pop,8157,1081,706,56,0
12.0,pop,7682,1442,776,100,0
15.0,pop,7255,1845,803,97,0
18.0,pop,7088,2191,613,108,0
21.0,pop,6917,2463,506,114,0
24.0,pop,6802,2700,416,82,0
27.0,pop,6727,2863,330,80,0
30.0,pop,6638,2984,313,65,0
33.0,pop,6547,3098,295,60,0
36.0,pop,6486,3164,271,79,0
39.0,pop,6405,3240,278,77,0
42.0,pop,6391,3318,232,59,0
45.0,pop,6469,3344,146,41,0
48.0,pop,6489,3360,129,22,0
51.0,pop,6523,3329,118,30,0
54.0,pop,6511,3280,159,50,0
57.0,pop,6551,3253,145,51,0
60.0,pop,6604,3247,120,29,0
63.0,pop,6652,3203,109,36,0
66.0,pop,6706,3194,82,18,0
69.0,pop,6747,3155,68,30,0
72.0,pop,6778,3125,71,26,0
75.0,pop,6828,3083,70,19,0
78.0,pop,6865,3056,67,12,0
81.0,pop,6903,3010,66,21,0
84.0,pop,6998,2942,48,12,0
87.0,pop,7061,2893,36,10,0
90.0,pop,7131,2839,25,5,0
93.0,pop,7212,2762,24,2,0
96.0,pop,7291,2691,13,5,0
99.0,pop,7347,2626,21,6,0
102.0,pop,7381,2581,35,3,0
105.0,pop,7436,2509,47,8,0
108.0,pop,7437,2457,90,16,0
111.0,pop,7520,2425,45,10,0
114.0,pop,7564,2386,47,3,0
117.0,pop,7604,2342,46,8,0
120.0,pop,7600,2309,80,11,0
123.0,pop,7525,2293,159,23,0
126.0,pop,7544,2299,117,40,0
129.0,pop,7470,2316,181,33,0
132.0,pop,7431,2374,165,30,0
135.0,pop,7415,2417,134,34,0
138.0,pop,7373,2457,140,30,0
141.0,pop,7319,2478,166,37,0
144.0,pop,7259,2500,193,48,0
147.0,pop,7260,2510,183,47,0
150.0,pop,7242,2553,171,34,0
153.0,pop,7185,2589,199,27,0
156.0,pop,7235,2615,124,26,0
159.0,pop,7179,2611,177,33,0
162.0,pop,7131,2625,195,49,0
165.0,pop,7056,2673,221,50,0
168.0,pop,7052,2724,181,43,0
171.0,pop,7078,2728,156,38,0
174.0,pop,7075,2742,150,33,0
177.0,pop,7079,2739,152,30,0
180.0,pop,7028,2761,174,37,0
183.0,pop,7040,2789,142,29,0
186.0,pop,7065,2777,127,31,0
189.0,pop,7104,2788,84,24,0
192.0,pop,7151,2755,83,11,0
195.0,pop,7210,2714,60,16,0
198.0,pop,7261,2667,58,14,0
201.0,pop,7270,2631,81,18,0
204.0,pop,7295,2612,81,12,0
207.0,pop,7364,2572,54,10,0
210.0,pop,7402,2526,59,13,0
213.0,pop,7444,2473,75,8,0
216.0,pop,7463,2442,77,18,0
219.0,pop,7425,2435,117,23,0
222.0,pop,7456,2429,98,17,0
225.0,pop,7528,2420,45,7,0
228.0,pop,7577,2382,33,8,0
231.0,pop,7651,2325,21,3,0
234.0,pop,7718,2244,32,6,0
237.0,pop,7760,2203,34,3,0
240.0,pop,7767,2170,56,7,0
243.0,pop,7778,2144,64,14,0
246.0,pop,7802,2097,92,9,0
249.0,pop,7773,2071,126,30,0
252.0,pop,7698,2108,174,20,0
255.0,pop,7647,2169,161,23,0
258.0,pop,7574,2208,187,31,0
261.0,pop,7517,2237,218,28,0
264.0,pop,7417,2280,267,36,0
267.0,pop,7445,2328,183,44,0
