Time,Population,Uninfected Naive,Uninfected Immune,Infected Naive,Infected Immune,Dead
0.0,pop,9499,0,501,0,0
2.0,pop,9478,0,522,0,0
4.0,pop,9514,0,486,0,0
6.0,pop,9518,0,482,0,0
8.0,pop,9546,0,454,0,0
10.0,pop,9493,0,507,0,0
12.0,pop,9548,0,452,0,0
14.0,pop,9578,0,422,0,0
16.0,pop,9578,0,422,0,0
18.0,pop,9563,0,437,0,0
20.0,pop,9550,0,450,0,0
22.0,pop,9571,0,429,0,0
24.0,pop,9613,0,387,0,0
26.0,pop,9626,0,374,0,0
28.0,pop,9652,0,348,0,0
30.0,pop,9648,0,352,0,0
32.0,pop,9579,0,421,0,0
34.0,pop,9550,0,450,0,0
36.0,pop,9532,0,468,0,0
38.0,pop,9548,0,452,0,0
40.0,pop,9528,0,472,0,0
42.0,pop,9629,0,371,0,0
44.0,pop,9601,0,399,0,0
46.0,pop,9563,0,437,0,0
48.0,pop,9539,0,461,0,0
50.0,pop,9464,0,536,0,0
52.0,pop,9479,0,521,0,0
54.0,pop,9541,0,459,0,0
56.0,pop,9585,0,415,0,0
58.0,pop,9528,0,472,0,0
60.0,pop,9519,0,481,0,0
62.0,pop,9515,0,485,0,0
64.0,pop,9473,0,527,0,0
66.0,pop,9494,0,506,0,0
68.0,pop,9520,0,480,0,0
70.0,pop,9453,0,547,0,0
72.0,pop,9423,0,577,0,0
74.0,pop,9415,0,585,0,0
76.0,pop,9459,0,541,0,0
78.0,pop,9399,0,601,0,0
80.0,pop,9383,0,617,0,0
82.0,pop,9381,0,619,0,0
84.0,pop,9458,0,542,0,0
86.0,pop,9415,0,585,0,0
88.0,pop,9491,0,509,0,0
90.0,pop,9459,0,541,0,0
92.0,pop,9504,0,496,0,0
94.0,pop,9514,0,486,0,0
96.0,pop,9480,0,520,0,0
98.0,pop,9478,0,522,0,0
100.0,pop,9493,0,507,0,0
102.0,pop,9530,0,470,0,0
104.0,pop,9593,0,407,0,0
106.0,pop,9575,0,425,0,0
108.0,pop,9486,0,514,0,0
110.0,pop,9488,0,512,0,0
112.0,pop,9466,0,534,0,0
114.0,pop,9367,0,633,0,0
116.0,pop,9330,0,670,0,0
118.0,pop,9356,0,644,0,0
120.0,pop,9390,0,610,0,0
122.0,pop,9324,0,676,0,0
124.0,pop,9306,0,694,0,0
126.0,pop,9208,0,792,0,0
128.0,pop,9211,0,789,0,0
130.0,pop,9108,0,892,0,0
132.0,pop,9202,0,798,0,0
134.0,pop,9209,0,791,0,0
136.0,pop,9149,0,851,0,0
138.0,pop,9218,0,782,0,0
140.0,pop,9140,0,860,0,0
142.0,pop,9184,0,816,0,0
144.0,pop,9113,0,887,0,0
146.0,pop,9081,0,919,0,0
148.0,pop,9149,0,851,0,0
150.0,pop,9092,0,908,0,0
152.0,pop,9131,0,869,0,0
154.0,pop,9118,0,882,0,0
156.0,pop,9149,0,851,0,0
158.0,pop,9087,0,913,0,0
160.0,pop,8980,0,1020,0,0
162.0,pop,9020,0,980,0,0
164.0,pop,9082,0,918,0,0
166.0,pop,9047,0,953,0,0
168.0,pop,8982,0,1018,0,0
170.0,pop,9019,0,981,0,0
172.0,pop,9032,0,968,0,0
174.0,pop,8948,0,1052,0,0
176.0,pop,8948,0,1052,0,0
178.0,pop,8947,0,1053,0,0
180.0,pop,8980,0,1020,0,0
182.0,pop,9081,0,919,0,0
184.0,pop,9078,0,922,0,0
186.0,pop,9007,0,993,0,0
188.0,pop,8968,0,1032,0,0
190.0,pop,8972,0,1028,0,0
192.0,pop,8823,0,1177,0,0
194.0,pop,8895,0,1105,0,0
196.0,pop,8899,0,1101,0,0
198.0,pop,8760,0,1240,0,0
200.0,pop,8904,0,1096,0,0
202.0,pop,8959,0,1041,0,0
204.0,pop,8945,0,1055,0,0
206.0,pop,8811,0,1189,0,0
208.0,pop,8806,0,1194,0,0
210.0,pop,8753,0,1247,0,0
212.0,pop,8626,0,1374,0,0
214.0,pop,8852,0,1148,0,0
216.0,pop,8840,0,1160,0,0
218.0,pop,8715,0,1285,0,0
220.0,pop,8616,0,1384,0,0
222.0,pop,8652,0,1348,0,0
224.0,pop,8761,0,1239,0,0
226.0,pop,8852,0,1148,0,0
228.0,pop,8862,0,1138,0,0
230.0,pop,8835,0,1165,0,0
232.0,pop,8799,0,1201,0,0
234.0,pop,8652,0,1348,0,0
236.0,pop,8631,0,1369,0,0
238.0,pop,8684,0,1316,0,0
240.0,pop,8678,0,1322,0,0
242.0,pop,8621,0,1379,0,0
244.0,pop,8683,0,1317,0,0
246.0,pop,8707,0,1293,0,0
248.0,pop,8830,0,1170,0,0
250.0,pop,8781,0,1219,0,0
252.0,pop,8902,0,1098,0,0
254.0,pop,8836,0,1164,0,0
256.0,pop,8745,0,1255,0,0
258.0,pop,8752,0,1248,0,0
260.0,pop,8759,0,1241,0,0
262.0,pop,8722,0,1278,0,0
264.0,pop,8663,0,1337,0,0
266.0,pop,8756,0,1244,0,0
268.0,pop,8777,0,1223,0,0
270.0,pop,8711,0,1289,0,0
272.0,pop,8757,0,1243,0,0
274.0,pop,8707,0,1293,0,0
276.0,pop,8611,0,1389,0,0
278.0,pop,8548,0,1452,0,0
280.0,pop,8601,0,1399,0,0
282.0,pop,8663,0,1337,0,0
284.0,pop,8687,0,1313,0,0
286.0,pop,8667,0,1333,0,0
288.0,pop,8661,0,1339,0,0
290.0,pop,8676,0,1324,0,0
292.0,pop,8721,0,1279,0,0
294.0,pop,8764,0,1236,0,0
