Time,AAAA,BBBB,BBAA,ABAA,ABBA,AABA,AABB,Other,Total
0.0,11,0,0,0,0,0,0,0,11
2.0,6,0,0,0,0,0,0,0,6
4.0,5,0,0,0,0,0,0,0,5
6.0,11,0,0,0,0,0,0,0,11
8.0,6,0,0,0,0,0,0,0,6
10.0,7,0,0,0,0,0,0,0,7
12.0,7,0,0,0,0,0,0,0,7
14.0,9,0,0,0,0,0,0,0,9
16.0,9,0,0,0,0,0,0,0,9
18.0,10,0,0,0,0,0,0,0,10
20.0,12,0,0,0,0,0,0,0,12
22.0,12,0,0,0,0,0,0,0,12
24.0,9,0,0,0,0,0,0,0,9
26.0,14,0,0,0,0,0,0,0,14
28.0,16,0,0,0,0,0,0,0,16
30.0,13,0,0,0,0,0,0,0,13
32.0,7,0,0,0,0,0,0,0,7
34.0,12,0,0,0,0,0,0,0,12
36.0,15,0,0,0,0,0,0,0,15
38.0,15,0,0,0,0,0,0,0,15
40.0,15,0,0,0,0,0,0,0,15
42.0,10,0,0,0,0,0,0,0,10
44.0,12,0,0,0,0,0,0,0,12
46.0,13,0,0,0,0,0,0,0,13
48.0,15,0,0,0,0,0,0,0,15
50.0,10,0,0,0,0,0,0,0,10
52.0,8,0,0,0,0,0,0,0,8
54.0,14,0,0,0,0,0,0,0,14
56.0,9,0,0,0,0,0,0,0,9
58.0,13,0,0,0,0,0,0,0,13
60.0,13,0,0,0,0,0,0,0,13
62.0,9,0,0,0,0,0,0,0,9
64.0,12,0,0,0,0,0,0,0,12
66.0,11,0,0,0,0,0,0,0,11
68.0,11,0,0,0,0,0,0,0,11
70.0,10,0,0,0,0,0,0,0,10
72.0,7,0,0,0,0,0,0,0,7
74.0,4,0,0,0,0,0,0,0,4
76.0,9,0,0,0,0,0,0,0,9
78.0,10,0,0,0,0,0,0,0,10
80.0,14,0,0,0,0,0,0,0,14
82.0,10,0,0,0,0,0,0,0,10
84.0,9,0,0,0,0,0,0,0,9
86.0,13,0,0,0,0,0,0,0,13
88.0,11,0,0,0,0,0,0,0,11
90.0,11,0,0,0,0,0,0,0,11
92.0,8,0,0,0,0,0,0,0,8
94.0,7,0,0,0,0,0,0,0,7
